n_trial,uncertainty,share,Predicted_MC_1up,mc_model,Instr,Task1Seek,check,ID,SeekFirst1,Predicted_MC,Old1,ValInstr,UncIntr,ValUnc,3w
12,91,0,1,-439,1,2,4,5658000ca9872d0011e1ba26,0,475,0,-439,91,-39949,-39949
13,42,4,0,-482,1,2,4,5658000ca9872d0011e1ba26,0,-482,0,-482,42,-20244,-20244
14,10,6,0,-474,1,2,4,5658000ca9872d0011e1ba26,0,-474,0,-474,10,-4740,-4740
15,28,5,0,-434,1,2,4,5658000ca9872d0011e1ba26,0,-434,0,-434,28,-12152,-12152
17,89,0,1,437,1,2,4,5658000ca9872d0011e1ba26,0,490,0,437,89,38893,38893
18,23,0,0,478,1,2,4,5658000ca9872d0011e1ba26,0,-470,0,478,23,10994,10994
19,22,6,1,492,1,2,4,5658000ca9872d0011e1ba26,0,492,0,492,22,10824,10824
20,17,5,1,455,1,2,4,5658000ca9872d0011e1ba26,0,455,0,455,17,7735,7735
21,69,1,1,466,1,2,4,5658000ca9872d0011e1ba26,0,466,0,466,69,32154,32154
22,18,5,0,-420,1,2,4,5658000ca9872d0011e1ba26,0,-420,0,-420,18,-7560,-7560
24,51,1,0,-470,1,2,4,5658000ca9872d0011e1ba26,0,-470,0,-470,51,-23970,-23970
25,88,0,1,-488,1,2,4,5658000ca9872d0011e1ba26,0,491,0,-488,88,-42944,-42944
27,27,4,1,411,1,2,4,5658000ca9872d0011e1ba26,0,411,0,411,27,11097,11097
28,6,6,0,-482,1,2,4,5658000ca9872d0011e1ba26,0,-482,0,-482,6,-2892,-2892
29,68,2,1,441,1,2,4,5658000ca9872d0011e1ba26,0,441,0,441,68,29988,29988
30,13,1,0,-481,1,2,4,5658000ca9872d0011e1ba26,0,-481,0,-481,13,-6253,-6253
32,46,2,0,-427,1,2,4,5658000ca9872d0011e1ba26,0,-428,0,-427,46,-19642,-19642
33,33,4,1,401,1,2,4,5658000ca9872d0011e1ba26,0,476,0,401,33,13233,13233
34,33,4,0,-498,1,2,4,5658000ca9872d0011e1ba26,0,-414,0,-498,33,-16434,-16434
35,18,5,1,417,1,2,4,5658000ca9872d0011e1ba26,0,417,0,417,18,7506,7506
36,87,0,0,414,1,2,4,5658000ca9872d0011e1ba26,0,-475,0,414,87,36018,36018
37,4,0,1,-440,1,2,4,5658000ca9872d0011e1ba26,0,489,0,-440,4,-1760,-1760
38,74,0,0,442,1,2,4,5658000ca9872d0011e1ba26,0,-414,0,442,74,32708,32708
40,59,2,1,437,1,2,4,5658000ca9872d0011e1ba26,0,437,0,437,59,25783,25783
41,19,0,1,-407,1,2,4,5658000ca9872d0011e1ba26,0,454,0,-407,19,-7733,-7733
42,59,2,1,401,1,2,4,5658000ca9872d0011e1ba26,0,401,0,401,59,23659,23659
43,85,0,0,463,1,2,4,5658000ca9872d0011e1ba26,0,-405,0,463,85,39355,39355
44,4,6,1,460,1,2,4,5658000ca9872d0011e1ba26,0,460,0,460,4,1840,1840
46,1,6,1,460,1,2,4,5658000ca9872d0011e1ba26,0,460,0,460,1,460,460
47,79,1,1,-455,1,2,4,5658000ca9872d0011e1ba26,0,448,0,-455,79,-35945,-35945
48,1,6,0,-443,1,2,4,5658000ca9872d0011e1ba26,0,-443,0,-443,1,-443,-443
1,54,6,1,-416,0,2,4,56b8fafebf489c000b7dce01,1,409,0,0,0,-22464,0
2,42,6,1,421,0,2,4,56b8fafebf489c000b7dce01,1,421,0,0,0,17682,0
3,84,6,1,-438,0,2,4,56b8fafebf489c000b7dce01,1,425,0,0,0,-36792,0
4,87,6,1,-452,0,2,4,56b8fafebf489c000b7dce01,1,499,0,0,0,-39324,0
5,68,6,0,-475,0,2,4,56b8fafebf489c000b7dce01,1,-404,0,0,0,-32300,0
7,19,6,0,-426,0,2,4,56b8fafebf489c000b7dce01,1,-426,0,0,0,-8094,0
8,91,6,0,444,0,2,4,56b8fafebf489c000b7dce01,1,-489,0,0,0,40404,0
9,86,6,0,-413,0,2,4,56b8fafebf489c000b7dce01,1,-457,0,0,0,-35518,0
11,78,6,1,-421,0,2,4,56b8fafebf489c000b7dce01,1,411,0,0,0,-32838,0
12,52,6,0,-437,0,2,4,56b8fafebf489c000b7dce01,1,-437,0,0,0,-22724,0
13,27,6,0,-405,0,2,4,56b8fafebf489c000b7dce01,1,-405,0,0,0,-10935,0
14,29,6,1,408,0,2,4,56b8fafebf489c000b7dce01,1,408,0,0,0,11832,0
15,96,6,0,-422,0,2,4,56b8fafebf489c000b7dce01,1,-412,0,0,0,-40512,0
17,56,6,0,-469,0,2,4,56b8fafebf489c000b7dce01,1,-475,0,0,0,-26264,0
18,5,6,1,500,0,2,4,56b8fafebf489c000b7dce01,1,500,0,0,0,2500,0
19,54,6,0,-425,0,2,4,56b8fafebf489c000b7dce01,1,-491,0,0,0,-22950,0
20,63,6,0,-429,0,2,4,56b8fafebf489c000b7dce01,1,-429,0,0,0,-27027,0
21,10,6,1,470,0,2,4,56b8fafebf489c000b7dce01,1,470,0,0,0,4700,0
22,77,6,0,-479,0,2,4,56b8fafebf489c000b7dce01,1,-479,0,0,0,-36883,0
24,45,6,0,-481,0,2,4,56b8fafebf489c000b7dce01,1,-483,0,0,0,-21645,0
25,33,6,0,-468,0,2,4,56b8fafebf489c000b7dce01,1,-468,0,0,0,-15444,0
27,46,6,1,450,0,2,4,56b8fafebf489c000b7dce01,1,450,0,0,0,20700,0
28,9,6,1,484,0,2,4,56b8fafebf489c000b7dce01,1,484,0,0,0,4356,0
29,14,6,1,443,0,2,4,56b8fafebf489c000b7dce01,1,443,0,0,0,6202,0
30,9,6,1,407,0,2,4,56b8fafebf489c000b7dce01,1,407,0,0,0,3663,0
32,43,6,1,453,0,2,4,56b8fafebf489c000b7dce01,1,453,0,0,0,19479,0
33,93,6,1,-481,0,2,4,56b8fafebf489c000b7dce01,1,476,0,0,0,-44733,0
34,15,6,1,434,0,2,4,56b8fafebf489c000b7dce01,1,436,0,0,0,6510,0
35,32,6,1,462,0,2,4,56b8fafebf489c000b7dce01,1,462,0,0,0,14784,0
36,21,6,0,-411,0,2,4,56b8fafebf489c000b7dce01,1,-411,0,0,0,-8631,0
37,88,6,0,431,0,2,4,56b8fafebf489c000b7dce01,1,-436,0,0,0,37928,0
38,31,6,1,479,0,2,4,56b8fafebf489c000b7dce01,1,479,0,0,0,14849,0
