n_trial,uncertainty,seek,Market_change_1up,mc_model,Instr,Task1Seek,check,ID,Old1
15,47,3,0,-453,0,1,2,5f4cce17fdda0b1e673aff64,1
17,30,3,1,418,0,1,2,5f4cce17fdda0b1e673aff64,1
18,25,3,1,409,0,1,2,5f4cce17fdda0b1e673aff64,1
19,59,2,0,-490,0,1,2,5f4cce17fdda0b1e673aff64,1
20,81,3,1,475,0,1,2,5f4cce17fdda0b1e673aff64,1
21,58,4,0,-487,0,1,2,5f4cce17fdda0b1e673aff64,1
22,8,6,1,500,0,1,2,5f4cce17fdda0b1e673aff64,1
24,78,4,0,-421,0,1,2,5f4cce17fdda0b1e673aff64,1
25,53,4,1,470,0,1,2,5f4cce17fdda0b1e673aff64,1
27,80,5,1,406,0,1,2,5f4cce17fdda0b1e673aff64,1
28,37,5,1,401,0,1,2,5f4cce17fdda0b1e673aff64,1
29,37,3,1,451,0,1,2,5f4cce17fdda0b1e673aff64,1
30,75,2,0,-429,0,1,2,5f4cce17fdda0b1e673aff64,1
32,24,3,0,-446,0,1,2,5f4cce17fdda0b1e673aff64,1
33,73,2,0,-433,0,1,2,5f4cce17fdda0b1e673aff64,1
34,76,2,1,492,0,1,2,5f4cce17fdda0b1e673aff64,1
35,66,1,0,-498,0,1,2,5f4cce17fdda0b1e673aff64,1
36,14,0,0,-429,0,1,2,5f4cce17fdda0b1e673aff64,1
37,65,1,1,413,0,1,2,5f4cce17fdda0b1e673aff64,1
38,98,0,1,422,0,1,2,5f4cce17fdda0b1e673aff64,1
40,96,2,0,-440,0,1,2,5f4cce17fdda0b1e673aff64,1
41,14,3,1,483,0,1,2,5f4cce17fdda0b1e673aff64,1
42,79,2,0,-411,0,1,2,5f4cce17fdda0b1e673aff64,1
43,71,3,1,430,0,1,2,5f4cce17fdda0b1e673aff64,1
44,84,3,1,405,0,1,2,5f4cce17fdda0b1e673aff64,1
46,36,4,1,492,0,1,2,5f4cce17fdda0b1e673aff64,1
47,8,1,0,-421,0,1,2,5f4cce17fdda0b1e673aff64,1
48,34,2,1,405,0,1,2,5f4cce17fdda0b1e673aff64,1
1,60,2,0,-441,0,1,2,60be191288bdda3df96d5629,1
2,50,4,0,-434,0,1,2,60be191288bdda3df96d5629,1
3,90,5,0,-466,0,1,2,60be191288bdda3df96d5629,1
4,99,5,0,-497,0,1,2,60be191288bdda3df96d5629,1
5,2,6,1,445,0,1,2,60be191288bdda3df96d5629,1
7,52,4,1,404,0,1,2,60be191288bdda3df96d5629,1
8,58,2,0,-470,0,1,2,60be191288bdda3df96d5629,1
9,43,5,1,418,0,1,2,60be191288bdda3df96d5629,1
11,81,3,1,481,0,1,2,60be191288bdda3df96d5629,1
12,76,3,1,419,0,1,2,60be191288bdda3df96d5629,1
13,36,0,0,-458,0,1,2,60be191288bdda3df96d5629,1
14,2,0,0,-441,0,1,2,60be191288bdda3df96d5629,1
15,22,0,0,-468,0,1,2,60be191288bdda3df96d5629,1
17,7,6,1,473,0,1,2,60be191288bdda3df96d5629,1
18,61,3,1,416,0,1,2,60be191288bdda3df96d5629,1
19,23,0,0,-409,0,1,2,60be191288bdda3df96d5629,1
20,74,2,1,464,0,1,2,60be191288bdda3df96d5629,1
21,22,0,0,-460,0,1,2,60be191288bdda3df96d5629,1
22,10,0,0,-491,0,1,2,60be191288bdda3df96d5629,1
24,81,2,0,-438,0,1,2,60be191288bdda3df96d5629,1
25,85,2,0,-439,0,1,2,60be191288bdda3df96d5629,1
27,14,0,0,-466,0,1,2,60be191288bdda3df96d5629,1
28,60,5,1,441,0,1,2,60be191288bdda3df96d5629,1
29,10,0,0,-404,0,1,2,60be191288bdda3df96d5629,1
30,14,6,1,472,0,1,2,60be191288bdda3df96d5629,1
32,13,6,1,473,0,1,2,60be191288bdda3df96d5629,1
33,16,6,1,476,0,1,2,60be191288bdda3df96d5629,1
34,15,6,1,436,0,1,2,60be191288bdda3df96d5629,1
35,87,2,0,-468,0,1,2,60be191288bdda3df96d5629,1
36,68,3,0,-477,0,1,2,60be191288bdda3df96d5629,1
37,16,0,0,-485,0,1,2,60be191288bdda3df96d5629,1
38,31,2,0,-485,0,1,2,60be191288bdda3df96d5629,1
40,23,0,0,-446,0,1,2,60be191288bdda3df96d5629,1
41,23,5,1,410,0,1,2,60be191288bdda3df96d5629,1
42,67,2,1,456,0,1,2,60be191288bdda3df96d5629,1
43,15,0,0,-418,0,1,2,60be191288bdda3df96d5629,1
44,45,1,0,-435,0,1,2,60be191288bdda3df96d5629,1
46,41,3,0,-420,0,1,2,60be191288bdda3df96d5629,1
47,79,2,1,491,0,1,2,60be191288bdda3df96d5629,1
48,38,5,1,442,0,1,2,60be191288bdda3df96d5629,1
1,29,0,1,460,0,1,2,60ea0222a57bce1e0b5f342e,1
2,74,0,0,-461,0,1,2,60ea0222a57bce1e0b5f342e,1
3,36,0,1,439,0,1,2,60ea0222a57bce1e0b5f342e,1
4,4,0,1,424,0,1,2,60ea0222a57bce1e0b5f342e,1
5,42,0,1,494,0,1,2,60ea0222a57bce1e0b5f342e,1
