n_trial,uncertainty,share,Predicted_MC_1up,Predicted_MC,Instr,Task1Seek,check,ID,mc_model,,ValInstr,UncIntr,ValUnc,3Qway
3,17,6,0,-480,0,2,4,558e734efdf99b3a5619b5d5,492,0,0,0,8364,0
4,82,6,0,-462,0,2,4,558e734efdf99b3a5619b5d5,-451,0,0,0,-36982,0
5,38,6,0,-430,0,2,4,558e734efdf99b3a5619b5d5,-430,0,0,0,-16340,0
7,75,6,0,-402,0,2,4,558e734efdf99b3a5619b5d5,463,0,0,0,34725,0
8,17,6,0,-406,0,2,4,558e734efdf99b3a5619b5d5,-471,0,0,0,-8007,0
9,73,6,1,491,0,2,4,558e734efdf99b3a5619b5d5,495,0,0,0,36135,0
11,19,6,1,446,0,2,4,558e734efdf99b3a5619b5d5,446,0,0,0,8474,0
12,95,6,0,-406,0,2,4,558e734efdf99b3a5619b5d5,-431,0,0,0,-40945,0
13,49,6,0,-446,0,2,4,558e734efdf99b3a5619b5d5,-446,0,0,0,-21854,0
14,81,6,1,435,0,2,4,558e734efdf99b3a5619b5d5,412,0,0,0,33372,0
15,62,6,0,-410,0,2,4,558e734efdf99b3a5619b5d5,-410,0,0,0,-25420,0
17,41,6,0,-461,0,2,4,558e734efdf99b3a5619b5d5,-461,0,0,0,-18901,0
18,25,6,0,-447,0,2,4,558e734efdf99b3a5619b5d5,-447,0,0,0,-11175,0
19,42,6,0,-490,0,2,4,558e734efdf99b3a5619b5d5,-425,0,0,0,-17850,0
20,26,6,1,432,0,2,4,558e734efdf99b3a5619b5d5,-470,0,0,0,-12220,0
21,79,6,0,-407,0,2,4,558e734efdf99b3a5619b5d5,-498,0,0,0,-39342,0
22,87,6,1,446,0,2,4,558e734efdf99b3a5619b5d5,437,0,0,0,38019,0
24,66,6,0,-403,0,2,4,558e734efdf99b3a5619b5d5,-403,0,0,0,-26598,0
25,73,6,1,454,0,2,4,558e734efdf99b3a5619b5d5,-440,0,0,0,-32120,0
27,7,6,0,-500,0,2,4,558e734efdf99b3a5619b5d5,-500,0,0,0,-3500,0
28,6,6,0,-400,0,2,4,558e734efdf99b3a5619b5d5,-400,0,0,0,-2400,0
29,32,6,0,-491,0,2,4,558e734efdf99b3a5619b5d5,450,0,0,0,14400,0
30,34,6,0,-473,0,2,4,558e734efdf99b3a5619b5d5,-473,0,0,0,-16082,0
32,99,6,1,470,0,2,4,558e734efdf99b3a5619b5d5,458,0,0,0,45342,0
33,34,6,0,-415,0,2,4,558e734efdf99b3a5619b5d5,-415,0,0,0,-14110,0
34,14,6,1,470,0,2,4,558e734efdf99b3a5619b5d5,470,0,0,0,6580,0
35,29,6,0,-442,0,2,4,558e734efdf99b3a5619b5d5,-442,0,0,0,-12818,0
36,51,6,1,462,0,2,4,558e734efdf99b3a5619b5d5,-469,0,0,0,-23919,0
37,71,6,0,-460,0,2,4,558e734efdf99b3a5619b5d5,-460,0,0,0,-32660,0
38,5,6,1,431,0,2,4,558e734efdf99b3a5619b5d5,431,0,0,0,2155,0
40,79,6,0,-436,0,2,4,558e734efdf99b3a5619b5d5,-404,0,0,0,-31916,0
41,23,6,0,-427,0,2,4,558e734efdf99b3a5619b5d5,-427,0,0,0,-9821,0
42,32,6,0,-466,0,2,4,558e734efdf99b3a5619b5d5,-466,0,0,0,-14912,0
43,94,6,0,-470,0,2,4,558e734efdf99b3a5619b5d5,-430,0,0,0,-40420,0
44,40,6,1,492,0,2,4,558e734efdf99b3a5619b5d5,492,0,0,0,19680,0
46,15,6,0,-470,0,2,4,558e734efdf99b3a5619b5d5,-470,0,0,0,-7050,0
47,34,6,0,-450,0,2,4,558e734efdf99b3a5619b5d5,-442,0,0,0,-15028,0
48,3,6,0,-481,0,2,4,558e734efdf99b3a5619b5d5,-481,0,0,0,-1443,0
1,43,6,1,471,1,2,4,558e734efdf99b3a5619b5d5,423,0,423,43,18189,18189
2,32,6,1,470,1,2,4,558e734efdf99b3a5619b5d5,470,0,470,32,15040,15040
3,84,6,1,496,1,2,4,558e734efdf99b3a5619b5d5,450,0,450,84,37800,37800
4,78,6,0,-437,1,2,4,558e734efdf99b3a5619b5d5,-427,0,-427,78,-33306,-33306
5,56,6,0,-440,1,2,4,558e734efdf99b3a5619b5d5,406,0,406,56,22736,22736
7,89,6,0,-426,1,2,4,558e734efdf99b3a5619b5d5,477,0,477,89,42453,42453
8,16,6,1,434,1,2,4,558e734efdf99b3a5619b5d5,434,0,434,16,6944,6944
9,54,6,1,420,1,2,4,558e734efdf99b3a5619b5d5,420,0,420,54,22680,22680
11,56,6,0,-417,1,2,4,558e734efdf99b3a5619b5d5,-460,0,-460,56,-25760,-25760
12,36,6,0,-457,1,2,4,558e734efdf99b3a5619b5d5,-457,0,-457,36,-16452,-16452
13,25,6,0,-485,1,2,4,558e734efdf99b3a5619b5d5,-485,0,-485,25,-12125,-12125
