config,metric,sim_mean,human_mean,human_std
VALIDATION_7_T,mean_contribution_rate,0.9351351351351351,0.8432675438596491,0.10674810370521763
VALIDATION_8_C,mean_contribution_rate,0.6375,0.6291666666666667,0.141931941175783
VALIDATION_8_T,mean_contribution_rate,0.49583333333333335,0.5961805555555556,0.1423945590788037
VALIDATION_9_C,mean_contribution_rate,0.7540740740740741,0.6046913580246914,0.12233415500534517
VALIDATION_9_T,mean_contribution_rate,0.6844444444444444,0.6477160493827161,0.13623017663969475
VALIDATION_0_C,punishment_rate,0.0,0.0,0.0
VALIDATION_0_T,punishment_rate,0.31666666666666665,0.19166666666666668,0.1177528799679258
VALIDATION_10_C,punishment_rate,0.0,0.0,0.0
VALIDATION_10_T,punishment_rate,0.8333333333333334,0.13636363636363635,0.13266591451074441
VALIDATION_11_C,punishment_rate,0.0,0.0,0.0
VALIDATION_11_T,punishment_rate,0.0,0.10693473193473194,0.09736295660417343
VALIDATION_12_C,punishment_rate,0.0,0.0,0.0
VALIDATION_12_T,punishment_rate,0.2777777777777778,0.15393518518518517,0.12087567549598967
VALIDATION_13_C,punishment_rate,0.0,0.0,0.0
VALIDATION_13_T,punishment_rate,0.051470588235294115,0.0855614973262032,0.07567216927421347
VALIDATION_14_C,punishment_rate,0.0,0.0,0.0
VALIDATION_14_T,punishment_rate,0.008771929824561403,0.07748538011695906,0.1087290835564506
VALIDATION_15_C,punishment_rate,0.0,0.0,0.0
VALIDATION_15_T,punishment_rate,0.8186813186813187,0.24925074925074925,0.07686142553226268
VALIDATION_16_C,punishment_rate,0.0,0.0,0.0
VALIDATION_16_T,punishment_rate,0.92,0.12666666666666668,0.06599663291074444
VALIDATION_17_C,punishment_rate,0.0,0.0,0.0
VALIDATION_17_T,punishment_rate,0.26842105263157895,0.28098065677013045,0.11672039109904529
VALIDATION_18_C,punishment_rate,0.0,0.0,0.0
VALIDATION_18_T,punishment_rate,0.0,0.09963768115942029,0.08010032959939907
VALIDATION_19_C,punishment_rate,0.0,0.0,0.0
VALIDATION_19_T,punishment_rate,0.0,0.09913793103448276,0.07208291950925823
VALIDATION_1_C,punishment_rate,0.0,0.0,0.0
VALIDATION_1_T,punishment_rate,1.0,0.1701388888888889,0.1901497440290704
VALIDATION_2_C,punishment_rate,0.0,0.0,0.0
VALIDATION_2_T,punishment_rate,0.0,0.13333333333333333,0.1355287997274216
VALIDATION_3_C,punishment_rate,0.0,0.0,0.0
VALIDATION_3_T,punishment_rate,0.10256410256410256,0.12004662004662005,0.10187306938653687
VALIDATION_4_C,punishment_rate,0.0,0.0,0.0
VALIDATION_4_T,punishment_rate,0.0,0.2517857142857143,0.09762812094883318
VALIDATION_5_C,punishment_rate,0.0,0.0,0.0
VALIDATION_5_T,punishment_rate,1.0,0.15625,0.1008141051455415
VALIDATION_6_C,punishment_rate,0.0,0.0,0.0
VALIDATION_6_T,punishment_rate,0.9182692307692307,0.2932692307692308,0.1147820806376281
VALIDATION_7_C,punishment_rate,0.0,0.0,0.0
VALIDATION_7_T,punishment_rate,0.05789473684210526,0.12850877192982457,0.12855217517441891
VALIDATION_8_C,punishment_rate,0.0,0.0,0.0
VALIDATION_8_T,punishment_rate,0.5,0.09722222222222222,0.08216777476527244
VALIDATION_9_C,punishment_rate,0.0,0.0,0.0
VALIDATION_9_T,punishment_rate,0.9333333333333333,0.2611111111111111,0.11515779119290186
VALIDATION_0_C,reward_rate,0.0,0.0,0.0
VALIDATION_0_T,reward_rate,0.0,0.0,0.0
VALIDATION_10_C,reward_rate,0.0,0.0,0.0
VALIDATION_10_T,reward_rate,0.0,0.0,0.0
VALIDATION_11_C,reward_rate,0.9903846153846154,0.1984265734265734,0.13249985019223812
VALIDATION_11_T,reward_rate,1.0,0.09236596736596737,0.08722980112005184
VALIDATION_12_C,reward_rate,0.0,0.0,0.0
VALIDATION_12_T,reward_rate,0.0,0.0,0.0
VALIDATION_13_C,reward_rate,0.9852941176470589,0.14538770053475936,0.0790283941015239
VALIDATION_13_T,reward_rate,0.9522058823529411,0.0661764705882353,0.08057793954295264
VALIDATION_14_C,reward_rate,1.0,0.12719298245614036,0.08819316451377586
VALIDATION_14_T,reward_rate,0.9912280701754386,0.10818713450292397,0.14926607038713707
VALIDATION_15_C,reward_rate,1.0,0.36217948717948717,0.13452112894643
VALIDATION_15_T,reward_rate,0.41923076923076924,0.17332667332667334,0.08742257685178494
VALIDATION_16_C,reward_rate,0.0,0.0,0.0
VALIDATION_16_T,reward_rate,0.0,0.0,0.0
