split_slug,direction,target,model_label,feature_source,k,oracle,env_val_mean_cluster_mae,env_val_avg_l1,mae,rmse,corr
num_rounds,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.04998420085267707,0.05850675084806825,0.6905131468253058
num_rounds,high_to_low,contribution_rate,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.0425590693708845,0.056972911505999785,0.6756174170784963
num_rounds,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.1586983764375167,0.9521902586251002,0.0783307718753665,0.09284757466723699,0.5542798278396781
num_rounds,high_to_low,contribution_rate,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.1586983764375167,0.9521902586251002,0.052060448696491936,0.061943131560953435,0.5876572768250664
num_rounds,high_to_low,normalized_efficiency,ridge_config,config,,False,,,0.13608975951509922,0.1598613123733412,0.4017334089352996
num_rounds,high_to_low,normalized_efficiency,ridge_raw_cluster_oracle_cluster_only,cluster_only,4.0,True,,,0.10921060795259312,0.12306055127138131,0.47759992296804915
num_rounds,high_to_low,normalized_efficiency,ridge_raw_cluster_oracle_cluster_plus_config,cluster_plus_config,4.0,True,,,0.13520946507143375,0.17232559642370804,0.4158198564387612
num_rounds,high_to_low,normalized_efficiency,ridge_raw_cluster_pred_cluster_only,cluster_only,4.0,False,0.21415606320626102,0.8566242528250441,0.11967212526535372,0.14910979544797734,0.13570559449089
num_rounds,high_to_low,normalized_efficiency,ridge_raw_cluster_pred_cluster_plus_config,cluster_plus_config,4.0,False,0.21415606320626102,0.8566242528250441,0.12760017054759518,0.15623829537495923,0.21134273003931484
num_rounds,high_to_low,normalized_efficiency,ridge_text_cluster_oracle_cluster_only,cluster_only,6.0,True,,,0.0838843707189735,0.10020489970893041,0.5336572146247281
num_rounds,high_to_low,normalized_efficiency,ridge_text_cluster_oracle_cluster_plus_config,cluster_plus_config,6.0,True,,,0.11102170444846463,0.14442648632250782,0.4652875335931597
num_rounds,high_to_low,normalized_efficiency,ridge_text_cluster_pred_cluster_only,cluster_only,6.0,False,0.1586983764375167,0.9521902586251002,0.1033523665189183,0.11910491782289048,0.5031059081425913
num_rounds,high_to_low,normalized_efficiency,ridge_text_cluster_pred_cluster_plus_config,cluster_plus_config,6.0,False,0.1586983764375167,0.9521902586251002,0.1012048134442608,0.12556261388328036,0.39820201467601424
num_rounds,low_to_high,contribution_rate,ridge_config,config,,False,,,0.08387932684422039,0.09963259883596028,0.43235695097698984
