benchmark_id,gameId,benchmark_game_count,human_normalized_efficiency,CONFIG_playerCount,CONFIG_numRounds,CONFIG_showNRounds,CONFIG_allOrNothing,CONFIG_chat,CONFIG_defaultContribProp,CONFIG_punishmentExists,CONFIG_punishmentCost,CONFIG_punishmentTech,CONFIG_rewardExists,CONFIG_rewardCost,CONFIG_rewardTech,CONFIG_showOtherSummaries,CONFIG_showPunishmentId,CONFIG_showRewardId,CONFIG_MPCR,human_mean_contribution_rate,human_punishment_rate,human_reward_rate,human_games_in_benchmark,human_var_players_contrib_rate,human_var_players_punishment_rate,human_var_players_reward_rate,sim_mean_contribution_rate,sim_punishment_rate,sim_reward_rate,sim_normalized_efficiency,sim_games_in_benchmark,run_id,label,linear_mean_contribution_rate,linear_punishment_rate,linear_reward_rate,linear_normalized_efficiency,linear_var_players_contrib_rate,linear_var_players_punishment_rate,linear_var_players_reward_rate
VALIDATION_6_C,Aj2G7CTuhLZ7Z2SPK,12,0.712230642060157,13,16,True,False,False,0,False,3,2.33,False,3,1.0,False,True,True,0.62,0.6726161858974359,0.0,0.0,12,0.08180391511033037,0.0,0.0,0.41852964743589743,0.0,0.0,0.4483738108160424,12,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_6_T,4b6cXrHzX3uMEqs3v,11,0.6695602946867305,13,16,True,False,False,0,True,3,2.33,False,3,1.0,False,True,True,0.62,0.7182036713286714,0.30856643356643354,0.0,11,0.05791638649811726,0.06892146315223238,0.0,0.48138111888111895,0.16870629370629373,0.0,0.463345951357115,11,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_7_C,3BxNLPzWw2rpgPJPe,11,0.9045247756435798,10,19,False,False,True,0,False,2,2.5,False,2,1.0,False,True,True,0.66,0.8709808612440191,0.0,0.0,11,0.042129394359103504,0.0,0.0,0.6565311004784689,0.0,0.0,0.6915531252373358,11,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_7_T,5R7YRmti4R5GiJKpi,12,0.81582967764543,10,19,False,False,True,0,True,2,2.5,False,2,1.0,False,True,True,0.66,0.8432675438596492,0.12850877192982457,0.0,12,0.03403810595567867,0.033464912280701746,0.0,0.6607236842105263,0.08991228070175439,0.0,0.6337225877192982,12,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_8_C,6BxRfLcBtXYodAS8h,12,0.6202105323066411,6,2,True,False,True,0,False,4,2.5,True,4,0.75,False,False,False,0.37,0.6291666666666667,0.0,0.2916666666666667,12,0.0675462962962963,0.0,0.11921296296296297,0.6725694444444444,0.0,0.125,0.7017939814814814,12,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_8_T,7Y6PBvgZNqtriKzaZ,11,0.5381478257606234,6,2,True,False,True,0,True,4,2.5,True,4,0.75,False,False,False,0.37,0.6075757575757575,0.09848484848484848,0.23484848484848486,11,0.05911616161616162,0.04734848484848486,0.08522727272727272,0.668560606060606,0.22727272727272727,0.1212121212121212,0.32642676767676765,11,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_9_C,62FyzyquiwhEjFNF6,11,0.6779132060778648,15,9,False,False,False,0,False,4,1.75,True,4,1.25,True,False,False,0.25,0.6206397306397307,0.0,0.40875420875420876,11,0.06777610674647712,0.0,0.11181444070332959,0.5104713804713804,0.0,0.1892255892255892,0.5640737725922911,11,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_9_T,4DZuoZwH72gWTocY5,11,0.574140626095332,15,9,False,False,False,0,True,4,1.75,True,4,1.25,True,False,False,0.25,0.6722222222222223,0.26397306397306397,0.15488215488215487,11,0.05890956478363885,0.06709065968325227,0.049362763436837515,0.6115824915824916,0.1696969696969697,0.17777777777777778,0.5550193085378271,11,260310_valraw417_archetype_cluster_plus,archetype_cluster_plus,,,,,,,
VALIDATION_0_C,4HwmGmWXPq5jBJust,10,0.7146143352176106,10,6,True,True,True,0,False,2,1.0,False,2,0.5,True,True,True,0.62,0.665,0.0,0.0,10,0.08375000000000002,0.0,0.0,0.5583333333333333,0.0,0.0,0.6006837606837607,10,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
VALIDATION_0_T,24hqfcDGXxLrMr7JY,12,0.7867881048463663,10,6,True,True,True,0,True,2,1.0,False,2,0.5,True,True,True,0.62,0.7930555555555555,0.19166666666666668,0.0,12,0.07905092592592593,0.04430555555555555,0.0,0.7027777777777778,0.11944444444444445,0.0,0.7184413580246914,12,260310_valraw417_archetype_cluster,archetype_cluster,,,,,,,
