persona_source,run,metric,metric_label,mean_diff,game_id_cluster_ci_low,game_id_cluster_ci_high,candidate_uniform_sd,standardized_diff,standardized_game_ci_low,standardized_game_ci_high,game_ci_excludes_zero
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,mean_contribution_rate,Mean contribution,0.11268753450947959,0.081384227903404,0.1455639428274662,0.25796060105940666,0.4368400990177891,0.31549092213760865,0.5642875006092258,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,full_contribution_rate,Full contribution,0.12503058707177578,0.08476238069901224,0.16524414503407633,0.3553757080435948,0.35182648740987654,0.23851484156202998,0.4649843568199249,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,zero_contribution_rate,Zero contribution,-0.07742832180886064,-0.10882615942848459,-0.049414433097980964,0.23177793839252675,-0.3340625183995388,-0.4695276875065754,-0.21319731049766832,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,contribution_sd,Contribution variability,-1.5066194119889584,-2.034201286536894,-0.9938426346221081,3.5095699802207827,-0.42928889307805707,-0.5796155363766033,-0.2831807430036163,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,messages_per_round,Messages per round,0.0855048312609998,0.041025236875817994,0.1385473617630309,0.28955404565454823,0.2952983477323302,0.1416842122964604,0.4784853254246169,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,reward_given_round_rate,Reward given,0.06487102352617322,0.024137201899316396,0.11092281682687008,0.269653583324469,0.24057170954822862,0.08951189003957186,0.4113530236065834,True
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_given_round_rate,Punishment given,0.010892422754198734,-0.0032336531222366006,0.02759729414779922,0.1878891644720589,0.05797259668914304,-0.01721042898520888,0.14688071143082457,False
Synthetic (Nemotron),nemotron_raw_fields_adult_to_pgg_stratified_32x40_top3_gpt_5_mini_seed_2,punish_received_round_rate,Punishment received,-0.030513754858006066,-0.050639360767550316,-0.012563352106072385,0.17715862098426044,-0.172239740230971,-0.28584192226270116,-0.07091583822606391,True
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,mean_contribution_rate,Mean contribution,0.00018096528209058537,-0.01262047724511822,0.014024239733695073,0.25796060105940666,0.0007015229509754097,-0.04892404961566905,0.0543658205016563,False
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,full_contribution_rate,Full contribution,-0.00014255400713397243,-0.015186288200779679,0.01559394975347597,0.3553757080435948,-0.0004011360481524105,-0.04273305084464788,0.04388017920336587,False
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,zero_contribution_rate,Zero contribution,0.0011033083373259852,-0.011645319737779247,0.012892528734468936,0.23177793839252675,0.004760195663909483,-0.05024343480895647,0.05562448619520827,False
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,contribution_sd,Contribution variability,0.05503288227158214,-0.09706339874463381,0.20410936383841957,3.5095699802207827,0.015680804936711958,-0.027656778263907895,0.05815794099811034,False
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,messages_per_round,Messages per round,0.035243869567626235,0.014119208437799591,0.06038930122314244,0.28955404565454823,0.12171775907311566,0.04876191042636814,0.20855968731719865,True
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,reward_given_round_rate,Reward given,0.02833257228890638,0.015333146643054107,0.043510960457120794,0.269653583324469,0.10507026066408448,0.05686238786081335,0.16135873264018483,True
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,punish_given_round_rate,Punishment given,0.004189668793613601,-0.0026983436580390206,0.011600485735208672,0.1878891644720589,0.022298618472150634,-0.014361358546784601,0.061741110871424344,False
Task-adaptive (Concordia),concordia_pgg_game_grounded_alphaevolve_5_compact_to_pgg_stratified_32x40_top3_gpt_5_mini,punish_received_round_rate,Punishment received,-5.5085611818814014e-05,-0.007026983768998203,0.007970177271698178,0.17715862098426044,-0.0003109394931658904,-0.039664927001336905,0.044988932671847136,False
