game_id,treatment_name,config_id,player,player_key,num_rounds,interaction_mode,max_observed_contribution,mean_contribution,mean_contribution_rate,first_contribution,first_contribution_rate,final_contribution,final_contribution_rate,contribution_sd,zero_contribution_rate,full_contribution_rate,contribution_slope,message_count,messages_per_round,rounds_with_message_rate,reward_given_units,reward_given_events,reward_given_round_rate,reward_received_units,reward_received_events,reward_received_round_rate,punish_given_units,punish_given_events,punish_given_round_rate,punish_received_units,punish_received_events,punish_received_round_rate,top1_count,top1_share,probability_mass,probability_share
2khRAszouj8vP8ZfP,VALIDATION_18_C,18,GORILLA,2khRAszouj8vP8ZfP::GORILLA,23,none,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,4,0.17391304347826086,0.08695652173913043,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,1,0.00078125,4.91,0.0038359375
2khRAszouj8vP8ZfP,VALIDATION_18_C,18,DUCK,2khRAszouj8vP8ZfP::DUCK,23,none,20.0,19.130434782608695,0.9565217391304348,0.0,0.0,20.0,1.0,4.170288281141495,0.043478260869565216,0.9565217391304348,0.2391304347826087,11,0.4782608695652174,0.30434782608695654,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,17,0.01328125,13.479999999999997,0.010531249999999997
2khRAszouj8vP8ZfP,VALIDATION_18_C,18,CHICKEN,2khRAszouj8vP8ZfP::CHICKEN,23,none,20.0,20.0,1.0,20.0,1.0,20.0,1.0,0.0,0.0,1.0,0.0,1,0.043478260869565216,0.043478260869565216,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,6,0.0046875,7.709999999999999,0.006023437499999999
9oyspxPncwXdAkruR,VALIDATION_2_C,2,SLOTH,9oyspxPncwXdAkruR::SLOTH,10,reward,20.0,11.6,0.58,20.0,1.0,0.0,0.0,7.7631608682718065,0.1,0.3,-0.829090909090909,0,0.0,0.0,0.0,0,0.0,1.0,1,0.1,0.0,0,0.0,0.0,0,0.0,1,0.00078125,3.7700000000000005,0.0029453125000000004
9oyspxPncwXdAkruR,VALIDATION_2_C,2,GORILLA,9oyspxPncwXdAkruR::GORILLA,10,reward,20.0,9.4,0.47000000000000003,5.0,0.25,10.0,0.5,4.501851470969102,0.0,0.1,0.35454545454545455,0,0.0,0.0,2.0,2,0.2,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,14,0.0109375,11.529999999999998,0.009007812499999998
9oyspxPncwXdAkruR,VALIDATION_2_C,2,DUCK,9oyspxPncwXdAkruR::DUCK,10,reward,20.0,15.0,0.75,20.0,1.0,20.0,1.0,5.270462766947299,0.0,0.4,-0.1909090909090909,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,17,0.01328125,14.539999999999997,0.011359374999999998
9oyspxPncwXdAkruR,VALIDATION_2_C,2,CHICKEN,9oyspxPncwXdAkruR::CHICKEN,10,reward,20.0,12.5,0.625,20.0,1.0,10.0,0.5,8.249579113843055,0.1,0.5,-0.5863636363636363,0,0.0,0.0,0.0,0,0.0,1.0,1,0.1,0.0,0,0.0,0.0,0,0.0,0,0.0,2.1599999999999997,0.0016874999999999998
CoHyYysb84APn5gDE,VALIDATION_18_T,18,SLOTH,CoHyYysb84APn5gDE::SLOTH,23,punishment,20.0,5.217391304347826,0.2608695652173913,0.0,0.0,0.0,0.0,8.979555170897592,0.7391304347826086,0.2608695652173913,0.15217391304347824,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,13,0.01015625,12.750000000000002,0.009960937500000001
CoHyYysb84APn5gDE,VALIDATION_18_T,18,GORILLA,CoHyYysb84APn5gDE::GORILLA,23,punishment,20.0,3.4782608695652173,0.17391304347826086,0.0,0.0,20.0,1.0,7.751067757631796,0.8260869565217391,0.17391304347826086,0.17391304347826086,2,0.08695652173913043,0.08695652173913043,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,19,0.01484375,14.519999999999998,0.011343749999999998
CoHyYysb84APn5gDE,VALIDATION_18_T,18,DUCK,CoHyYysb84APn5gDE::DUCK,23,punishment,20.0,0.8695652173913043,0.043478260869565216,0.0,0.0,0.0,0.0,4.170288281141495,0.9565217391304348,0.043478260869565216,-0.21739130434782608,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
CoHyYysb84APn5gDE,VALIDATION_18_T,18,CHICKEN,CoHyYysb84APn5gDE::CHICKEN,23,punishment,20.0,1.7391304347826086,0.08695652173913043,20.0,1.0,0.0,0.0,5.762081310400608,0.9130434782608695,0.08695652173913043,-0.30434782608695654,2,0.08695652173913043,0.08695652173913043,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,4.73,0.0036953125000000002
