PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcPun;uncalcPun;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;punUncalc;noUncalc;punCalc;noCalc;punHid;noPunHid;gender;age;Condition;RecordedDate
143;425;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;0;10;10;;;2;41;5;22/11/2023 16:30
144;341;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;2;23;5;22/11/2023 16:30
145;391;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;66;4;22/11/2023 16:31
146;228;1;0;0;1;1;1;0;;;0;;1;1;35;;;;;;;;;;;;;;1;66;4;22/11/2023 16:31
147;350;;;;;;;;;;;;;;;0;0;1;1;1;1;1;0;0;0;0;;;1;58;5;22/11/2023 16:31
148;282;1;0;1;0;0;1;1;;;0;;1;1;20;;;;;;;;;;;;;;2;39;4;22/11/2023 16:32
149;308;;;;;;;;;;;;;;;1;1;1;0;0;1;1;3;0;3;0;;;2;37;5;22/11/2023 16:32
150;662;1;0;1;0;0;0;1;;;0;;1;1;5;;;;;;;;;;;;;;2;42;4;22/11/2023 16:32
151;416;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;2;45;6;22/11/2023 16:32
152;269;1;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;36;3;22/11/2023 16:32
153;369;0;0;1;0;0;1;1;;;1;;0;1;29;;;;;;;;;;;;;;1;59;4;22/11/2023 16:33
154;305;;;;;;;;;;;;;;;0;0;1;1;0;1;0;;;;;10;3;1;38;6;22/11/2023 16:34
155;305;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;0;1;2;29;6;22/11/2023 16:34
156;359;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;37;4;22/11/2023 16:35
157;803;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;3;8;5;;;2;26;5;22/11/2023 16:35
158;603;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;48;3;22/11/2023 16:35
159;406;1;1;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;67;3;22/11/2023 16:37
160;212;1;1;0;0;0;1;0;0;0;;0;;;0;;;;;;;;;;;;;;2;40;3;22/11/2023 16:37
161;449;1;1;1;0;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;32;3;22/11/2023 16:37
162;635;;;;;;;;;;;;;;;0;0;1;0;1;0;0;5;10;10;5;;;2;64;5;22/11/2023 16:37
163;317;1;1;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;2;44;3;22/11/2023 16:38
164;563;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;10;10;10;;;1;30;5;22/11/2023 16:39
165;298;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;27;6;22/11/2023 16:39
166;348;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;5;2;39;6;22/11/2023 16:39
167;432;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;10;2;42;6;22/11/2023 16:39
168;630;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;10;2;56;6;22/11/2023 16:40
169;198;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;10;1;31;6;22/11/2023 16:40
170;489;;;;;;;;;;;;;;;1;1;1;1;1;1;0;10;10;10;10;;;2;47;5;22/11/2023 16:40
171;454;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;25;5;22/11/2023 16:40
172;286;0;0;1;1;1;0;1;;;1;;0;1;50;;;;;;;;;;;;;;2;36;4;22/11/2023 16:40
173;334;1;0;1;1;1;1;1;;;1;;1;1;25;;;;;;;;;;;;;;2;43;4;22/11/2023 16:40
174;436;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;2;2;2;43;6;22/11/2023 16:40
175;311;1;0;0;1;0;0;1;;;;1;0;0;51;;;;;;;;;;;;;;2;72;4;22/11/2023 16:40
176;268;;;;;;;;;;;;;;;1;0;1;1;1;1;0;5;5;5;5;;;2;26;5;22/11/2023 16:42
177;473;1;0;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;49;3;22/11/2023 16:42
178;294;;;;;;;;;;;;;;;1;1;1;0;1;1;1;10;2;10;2;;;2;46;5;22/11/2023 16:42
179;433;;;;;;;;;;;;;;;1;1;1;1;1;0;1;1;1;1;1;;;2;53;5;22/11/2023 16:42
180;426;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;56;4;22/11/2023 16:43
181;431;;;;;;;;;;;;;;;1;0;1;1;0;1;1;5;4;2;5;;;2;52;5;22/11/2023 16:43
182;349;;;;;;;;;;;;;;;0;0;0;0;0;1;0;;;;;5;5;1;41;6;22/11/2023 16:44
183;218;;;;;;;;;;;;;;;0;0;0;0;1;0;1;;;;;6;8;2;30;6;22/11/2023 16:45
184;370;;;;;;;;;;;;;;;1;0;1;1;0;1;1;;;;;0;4;2;35;6;22/11/2023 16:46
185;432;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;5;1;2;53;6;22/11/2023 16:46
186;621;0;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;39;3;22/11/2023 16:46
187;360;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;2;3;2;65;6;22/11/2023 16:47
188;386;0;0;1;1;0;0;1;0;1;0;;;;25;;;;;;;;;;;;;;2;37;3;22/11/2023 16:48
189;526;0;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;46;4;22/11/2023 16:48
190;373;0;0;1;1;1;0;1;1;1;1;;;;30;;;;;;;;;;;;;;2;33;3;22/11/2023 16:48
191;330;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;4;4;2;42;6;22/11/2023 16:48
192;388;0;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;65;3;22/11/2023 16:48
193;460;0;0;1;1;0;1;1;1;1;0;;;;51;;;;;;;;;;;;;;2;46;3;22/11/2023 16:49
194;454;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;7;10;10;;;1;39;5;22/11/2023 16:49
195;414;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;10;10;1;78;6;22/11/2023 16:49
196;266;0;1;1;0;0;1;1;;;0;;1;1;80;;;;;;;;;;;;;;1;42;4;22/11/2023 16:49
197;329;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;31;3;22/11/2023 16:50
198;394;0;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;41;3;22/11/2023 16:51
199;473;1;0;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;38;4;22/11/2023 16:52
200;316;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;7;5;1;69;6;22/11/2023 16:53
201;497;1;0;0;1;0;1;1;;;0;;1;1;12;;;;;;;;;;;;;;2;70;4;22/11/2023 16:54
202;630;;;;;;;;;;;;;;;1;1;1;1;1;1;0;;;;;4;6;1;52;6;22/11/2023 16:54
203;395;;;;;;;;;;;;;;;1;0;0;0;1;0;1;6;6;8;10;;;2;44;5;22/11/2023 16:54
204;820;0;1;1;0;1;1;1;;;;0;0;0;50;;;;;;;;;;;;;;2;50;4;22/11/2023 16:54
205;307;0;1;0;0;0;1;0;;;1;;0;1;51;;;;;;;;;;;;;;1;62;4;22/11/2023 16:55
206;384;;;;;;;;;;;;;;;0;1;1;1;1;1;1;0;10;5;10;;;1;33;5;22/11/2023 16:56
207;286;0;0;0;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;38;4;22/11/2023 16:56
208;349;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;10;;;2;27;5;22/11/2023 16:56
209;309;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;2;45;3;22/11/2023 16:56
210;468;1;1;1;0;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;29;4;22/11/2023 16:57
