PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpHid;noHelpHid;gender;age;Condition;RecordedDate
641;296;1;1;1;1;1;0;1;1;1;1;;;;10;;;;;;;;;;;;;;2;27;3;19/11/2023 11:52
642;296;0;1;1;1;1;1;1;1;1;1;;;;10;;;;;;;;;;;;;;2;41;3;19/11/2023 11:53
643;296;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;23;6;19/11/2023 11:54
644;297;0;0;0;0;1;0;1;;;1;;1;1;10;;;;;;;;;;;;;;2;28;4;19/11/2023 11:57
645;297;;;;;;;;;;;;;;;1;1;1;0;0;0;1;6;4;6;4;;;1;52;5;19/11/2023 11:58
646;297;;;;;;;;;;;;;;;0;1;0;0;1;0;1;2;4;5;2;;;2;44;5;19/11/2023 11:58
647;297;1;1;1;1;1;1;1;1;0;;1;;;30;;;;;;;;;;;;;;3;22;3;19/11/2023 11:59
648;297;0;0;0;0;1;1;1;;;1;;1;1;35;;;;;;;;;;;;;;1;24;4;19/11/2023 11:59
649;297;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;5;5;2;27;6;19/11/2023 12:00
650;298;1;1;0;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;30;3;19/11/2023 12:00
651;298;;;;;;;;;;;;;;;0;1;0;0;1;0;1;;;;;9;8;2;42;6;19/11/2023 12:01
652;298;;;;;;;;;;;;;;;1;0;1;0;1;1;1;5;5;3;5;;;2;33;5;19/11/2023 12:01
653;298;;;;;;;;;;;;;;;1;1;1;1;0;1;1;3;1;3;0;;;2;21;5;19/11/2023 12:01
654;298;1;1;0;0;0;1;1;0;1;1;;;;100;;;;;;;;;;;;;;1;31;3;19/11/2023 12:05
655;298;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;0;2;36;6;19/11/2023 12:06
656;298;1;1;0;1;1;1;1;;;1;;1;1;40;;;;;;;;;;;;;;2;32;4;19/11/2023 12:06
657;298;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;22;4;19/11/2023 12:08
658;298;;;;;;;;;;;;;;;0;0;0;1;0;0;0;0;0;0;0;;;1;49;5;19/11/2023 12:09
659;298;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;23;3;19/11/2023 12:10
660;298;;;;;;;;;;;;;;;0;0;0;1;1;0;1;;;;;10;4;2;37;6;19/11/2023 12:13
661;298;;;;;;;;;;;;;;;1;1;1;0;0;1;1;10;0;10;0;;;2;26;5;19/11/2023 12:13
662;299;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;28;6;19/11/2023 12:16
663;299;1;1;1;1;1;0;1;;;1;;1;1;30;;;;;;;;;;;;;;2;26;4;19/11/2023 12:17
664;299;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;10;0;2;27;6;19/11/2023 12:18
665;300;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;1;2;23;6;19/11/2023 12:21
666;300;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;30;4;19/11/2023 12:22
667;300;;;;;;;;;;;;;;;1;0;1;0;1;0;1;4;4;6;4;;;1;37;5;19/11/2023 12:23
668;300;1;0;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;59;4;19/11/2023 12:24
669;300;;;;;;;;;;;;;;;0;1;1;1;1;0;0;10;10;5;6;;;2;18;5;19/11/2023 12:24
670;300;;;;;;;;;;;;;;;1;0;1;0;1;1;0;;;;;8;5;2;48;6;19/11/2023 12:25
671;300;;;;;;;;;;;;;;;0;1;1;1;0;1;1;;;;;10;10;1;29;6;19/11/2023 12:25
672;300;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;0;1;43;6;19/11/2023 12:25
673;300;1;1;1;1;0;1;0;1;1;1;;;;50;;;;;;;;;;;;;;1;30;3;19/11/2023 12:25
674;300;;;;;;;;;;;;;;;0;0;0;0;1;1;0;;;;;5;0;2;62;6;19/11/2023 12:25
675;300;;;;;;;;;;;;;;;0;1;1;0;1;0;1;10;10;10;10;;;2;33;5;19/11/2023 12:25
676;300;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;0;4;0;;;2;36;5;19/11/2023 12:25
677;301;0;0;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;33;3;19/11/2023 12:28
678;301;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;1;0;1;27;6;19/11/2023 12:29
679;301;;;;;;;;;;;;;;;0;1;0;0;1;1;0;10;10;2;2;;;1;34;5;19/11/2023 12:31
680;301;1;1;0;1;0;1;1;;;1;;1;1;30;;;;;;;;;;;;;;2;39;4;19/11/2023 12:32
681;301;0;1;0;0;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;26;3;19/11/2023 12:33
682;301;;;;;;;;;;;;;;;0;1;1;1;1;1;1;10;0;10;0;;;2;37;5;19/11/2023 12:33
683;301;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;48;3;19/11/2023 12:34
684;301;;;;;;;;;;;;;;;1;1;1;0;0;0;1;;;;;10;10;1;34;6;19/11/2023 12:35
685;302;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0;0;0;;;2;31;5;19/11/2023 12:35
686;302;;;;;;;;;;;;;;;0;1;0;0;1;1;1;10;10;6;10;;;1;50;5;19/11/2023 12:35
687;302;1;0;1;1;1;1;1;0;0;;0;;;0;;;;;;;;;;;;;;2;40;3;19/11/2023 12:36
688;302;1;1;1;0;0;1;1;0;1;1;;;;49;;;;;;;;;;;;;;2;42;3;19/11/2023 12:40
689;302;0;1;1;0;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;25;4;19/11/2023 12:42
690;302;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;8;8;2;40;6;19/11/2023 12:43
691;302;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;3;4;1;29;6;19/11/2023 12:43
692;302;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;10;10;2;41;6;19/11/2023 12:43
693;302;0;0;0;1;1;0;1;1;0;;0;;;0;;;;;;;;;;;;;;2;26;3;19/11/2023 12:43
694;302;;;;;;;;;;;;;;;0;1;0;0;0;1;1;;;;;7;7;1;23;6;19/11/2023 12:43
695;302;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;24;6;19/11/2023 12:44
696;303;1;1;1;1;0;1;1;;;;1;1;0;29;;;;;;;;;;;;;;2;40;4;19/11/2023 12:44
697;303;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;38;3;19/11/2023 12:44
698;303;0;0;0;0;1;1;1;;;0;;1;1;1;;;;;;;;;;;;;;1;31;4;19/11/2023 12:45
699;303;0;1;1;0;0;1;0;;;1;;1;1;51;;;;;;;;;;;;;;1;24;4;19/11/2023 12:46
700;303;1;1;1;1;1;1;1;1;1;1;;;;45;;;;;;;;;;;;;;2;20;3;19/11/2023 12:46
701;303;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;0;2;22;6;19/11/2023 12:46
702;303;;;;;;;;;;;;;;;0;1;1;1;1;0;1;6;6;6;6;;;1;44;5;19/11/2023 12:47
703;303;1;0;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;47;4;19/11/2023 12:47
704;303;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;2;24;5;19/11/2023 12:48
705;303;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;2;28;6;19/11/2023 12:48
706;303;1;1;1;1;1;1;1;;;;1;1;0;60;;;;;;;;;;;;;;1;23;4;19/11/2023 12:48
707;304;0;1;1;1;1;1;1;1;1;1;;;;100;;;;;;;;;;;;;;1;37;3;19/11/2023 12:49
708;304;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;1;3;1;;;2;29;5;19/11/2023 12:49
709;304;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;42;4;19/11/2023 12:50
710;304;1;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;49;4;19/11/2023 12:51
711;304;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;6;6;1;21;6;19/11/2023 12:51
712;304;1;0;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;2;27;4;19/11/2023 12:52
713;304;1;0;1;0;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;37;4;19/11/2023 12:52
714;304;1;1;1;1;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;45;3;19/11/2023 12:53
715;304;0;0;1;0;0;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;42;4;19/11/2023 12:54
716;304;0;0;1;0;1;0;1;1;1;1;;;;61;;;;;;;;;;;;;;2;31;3;19/11/2023 12:55
717;305;;;;;;;;;;;;;;;1;1;1;1;0;1;1;4;3;3;4;;;2;47;5;19/11/2023 12:56
718;305;0;1;1;0;1;0;1;1;0;;1;;;25;;;;;;;;;;;;;;2;48;3;19/11/2023 12:57
719;305;0;1;1;0;0;0;1;0;1;1;;;;40;;;;;;;;;;;;;;2;25;3;19/11/2023 12:58
720;305;;;;;;;;;;;;;;;1;1;1;1;1;0;1;7;0;5;1;;;1;19;5;19/11/2023 12:59
721;305;0;0;0;0;1;1;1;0;0;;0;;;0;;;;;;;;;;;;;;2;53;3;19/11/2023 13:00
722;305;1;0;1;0;1;1;1;;;1;;1;1;33;;;;;;;;;;;;;;2;34;4;19/11/2023 13:01
723;305;0;1;1;1;1;1;1;;;1;;1;1;34;;;;;;;;;;;;;;1;42;4;19/11/2023 13:01
724;305;1;1;1;1;1;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;36;3;19/11/2023 13:01
725;305;;;;;;;;;;;;;;;1;1;1;0;0;1;1;;;;;5;0;2;27;6;19/11/2023 13:02
726;305;1;1;1;1;0;1;1;1;1;1;;;;15;;;;;;;;;;;;;;2;37;3;19/11/2023 13:03
727;306;;;;;;;;;;;;;;;0;0;0;0;0;0;1;;;;;10;10;1;34;6;19/11/2023 13:03
728;306;0;0;1;0;0;1;1;1;0;;1;;;100;;;;;;;;;;;;;;1;30;3;19/11/2023 13:05
729;306;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;5;2;31;6;19/11/2023 13:06
730;306;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;0;0;1;28;6;19/11/2023 13:07
731;306;0;0;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;52;3;19/11/2023 13:07
732;306;1;1;1;1;0;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;37;3;19/11/2023 13:11
733;306;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;19/11/2023 13:13
734;306;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;5;5;2;44;6;19/11/2023 13:17
735;306;;;;;;;;;;;;;;;0;0;1;1;0;1;0;10;10;10;10;;;1;49;5;19/11/2023 13:17
736;306;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;4;5;2;31;6;19/11/2023 13:18
737;306;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;10;0;1;52;6;19/11/2023 13:20
738;306;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;6;0;2;29;6;19/11/2023 13:21
739;306;;;;;;;;;;;;;;;1;1;1;1;1;1;1;6;0;5;3;;;2;19;5;19/11/2023 13:21
740;307;1;1;1;1;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;30;4;19/11/2023 13:23
741;307;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;;;10;10;3;37;6;19/11/2023 13:23
742;307;;;;;;;;;;;;;;;0;1;0;1;1;1;1;4;2;4;2;;;2;45;5;19/11/2023 13:25
743;307;1;1;1;1;0;0;1;;;1;;0;1;10;;;;;;;;;;;;;;1;22;4;19/11/2023 13:25
744;307;1;1;1;1;1;1;1;1;1;0;;;;9;;;;;;;;;;;;;;1;39;3;19/11/2023 13:25
745;307;;;;;;;;;;;;;;;1;1;1;1;0;1;0;5;5;10;0;;;1;20;5;19/11/2023 13:26
746;307;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;2;2;28;6;19/11/2023 13:26
747;308;0;1;0;0;1;0;1;;;1;;1;1;80;;;;;;;;;;;;;;1;48;4;19/11/2023 13:27
748;308;1;0;1;1;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;1;35;4;19/11/2023 13:27
749;308;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;0;5;0;;;1;27;5;19/11/2023 13:27
750;308;1;1;0;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;50;3;19/11/2023 13:27
751;308;;;;;;;;;;;;;;;0;0;1;0;1;0;1;5;2;2;0;;;2;38;5;19/11/2023 13:28
752;308;;;;;;;;;;;;;;;1;1;0;0;1;1;1;;;;;6;0;1;48;6;19/11/2023 13:29
753;308;0;0;1;1;0;0;0;;;1;;0;1;35;;;;;;;;;;;;;;2;39;4;19/11/2023 13:31
754;308;1;1;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;2;23;4;19/11/2023 13:32
755;308;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;4;2;35;6;19/11/2023 13:33
756;308;1;1;0;0;1;1;1;1;1;1;;;;49;;;;;;;;;;;;;;2;32;3;19/11/2023 13:34
757;309;;;;;;;;;;;;;;;0;1;1;1;0;0;1;;;;;5;0;2;35;6;19/11/2023 13:35
758;309;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0;0;0;;;2;25;5;19/11/2023 13:35
759;309;0;1;0;0;1;0;1;1;0;;1;;;54;;;;;;;;;;;;;;2;51;3;19/11/2023 13:35
760;309;0;0;1;0;0;1;0;;;1;;0;1;50;;;;;;;;;;;;;;1;60;4;19/11/2023 13:36
761;309;1;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;29;3;19/11/2023 13:37
762;309;;;;;;;;;;;;;;;0;1;0;1;1;1;1;;;;;10;10;2;49;6;19/11/2023 13:38
763;309;;;;;;;;;;;;;;;0;0;1;0;1;0;1;10;0;4;4;;;2;33;5;19/11/2023 13:44
764;309;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;31;4;19/11/2023 13:47
765;309;;;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;;;1;32;5;19/11/2023 13:47
766;309;;;;;;;;;;;;;;;1;1;1;0;1;1;1;5;0;10;0;;;2;23;5;19/11/2023 13:48
767;310;1;1;1;1;1;0;1;0;1;1;;;;51;;;;;;;;;;;;;;2;45;3;19/11/2023 13:50
768;310;0;1;1;1;0;0;1;1;1;1;;;;60;;;;;;;;;;;;;;1;31;3;19/11/2023 13:50
769;310;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;8;4;1;43;6;19/11/2023 13:52
770;310;;;;;;;;;;;;;;;0;0;1;1;1;0;1;10;10;10;10;;;2;48;5;19/11/2023 13:52
771;310;1;1;1;1;0;1;1;;;1;;1;1;30;;;;;;;;;;;;;;2;40;4;19/11/2023 13:54
772;311;0;1;0;0;0;1;1;0;1;1;;;;51;;;;;;;;;;;;;;2;30;3;19/11/2023 13:58
773;311;;;;;;;;;;;;;;;1;1;1;0;1;1;0;;;;;6;1;1;35;6;19/11/2023 13:59
774;311;;;;;;;;;;;;;;;1;1;1;1;1;0;0;10;0;10;0;;;2;31;5;19/11/2023 14:01
775;311;;;;;;;;;;;;;;;1;1;1;0;1;0;1;10;0;10;0;;;2;30;5;19/11/2023 14:01
776;311;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;39;4;19/11/2023 14:02
777;312;1;1;0;1;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;3;23;4;19/11/2023 14:02
778;312;1;1;1;1;1;1;1;1;0;;0;;;0;;;;;;;;;;;;;;1;26;3;19/11/2023 14:04
779;312;1;1;0;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;32;4;19/11/2023 14:05
780;312;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;0;2;29;6;19/11/2023 14:06
781;312;0;1;1;1;1;1;1;1;1;1;;;;51;;;;;;;;;;;;;;1;28;3;19/11/2023 14:08
782;312;1;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;22;4;19/11/2023 14:08
783;312;;;;;;;;;;;;;;;1;1;1;1;1;0;1;0;0;0;0;;;1;31;5;19/11/2023 14:08
784;312;;;;;;;;;;;;;;;0;1;1;0;1;0;1;2;3;5;4;;;2;26;5;19/11/2023 14:08
785;313;;;;;;;;;;;;;;;1;1;0;1;1;1;1;;;;;10;0;2;33;6;19/11/2023 14:10
786;313;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;5;5;2;51;6;19/11/2023 14:12
787;313;0;0;1;0;1;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;46;3;19/11/2023 14:13
788;313;1;1;1;1;0;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;31;3;19/11/2023 14:14
789;313;1;1;1;1;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;2;32;4;19/11/2023 14:16
790;313;;;;;;;;;;;;;;;1;0;1;1;1;0;1;;;;;5;10;1;29;6;19/11/2023 14:16
791;313;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;31;3;19/11/2023 14:17
792;313;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;36;4;19/11/2023 14:17
793;313;1;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;26;4;19/11/2023 14:20
794;313;;;;;;;;;;;;;;;0;0;1;0;0;1;1;;;;;5;5;2;27;6;19/11/2023 14:21
795;313;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;2;2;24;6;19/11/2023 14:24
796;313;0;0;1;0;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;33;4;19/11/2023 14:25
797;314;0;1;1;1;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;1;22;3;19/11/2023 14:26
798;314;0;0;1;1;1;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;42;3;19/11/2023 14:26
799;314;1;0;1;0;0;1;1;1;1;1;;;;20;;;;;;;;;;;;;;2;51;3;19/11/2023 14:27
800;314;1;0;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;39;4;19/11/2023 14:28
801;314;;;;;;;;;;;;;;;1;1;1;0;1;1;1;4;4;4;3;;;2;28;5;19/11/2023 14:30
802;314;1;1;1;1;1;1;1;0;0;;1;;;42;;;;;;;;;;;;;;2;27;3;19/11/2023 14:31
803;314;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;43;4;19/11/2023 14:32
804;314;0;0;0;1;0;0;1;;;1;;0;1;50;;;;;;;;;;;;;;1;40;4;19/11/2023 14:33
805;314;1;1;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;25;4;19/11/2023 14:33
806;314;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;20;4;19/11/2023 14:37
807;314;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;51;4;19/11/2023 14:39
808;314;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;5;5;2;30;6;19/11/2023 14:39
809;315;;;;;;;;;;;;;;;0;1;1;0;1;0;1;;;;;5;0;2;24;6;19/11/2023 14:41
810;315;0;1;1;0;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;1;32;3;19/11/2023 14:42
811;315;0;0;1;0;0;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;34;3;19/11/2023 14:42
812;315;1;1;1;0;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;1;51;4;19/11/2023 14:43
813;315;;;;;;;;;;;;;;;0;0;1;0;0;1;0;10;10;10;10;;;1;43;5;19/11/2023 14:46
814;315;1;0;1;1;1;1;1;1;1;1;;;;3;;;;;;;;;;;;;;1;37;3;19/11/2023 14:46
815;315;;;;;;;;;;;;;;;1;1;1;1;1;1;0;8;2;7;1;;;1;19;5;19/11/2023 14:47
816;316;1;1;1;0;0;0;0;0;1;1;;;;50;;;;;;;;;;;;;;2;38;3;19/11/2023 14:49
817;316;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;5;5;1;53;6;19/11/2023 14:51
818;316;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;5;1;30;6;19/11/2023 14:51
819;316;;;;;;;;;;;;;;;0;1;0;1;1;1;0;2;0;4;1;;;2;28;5;19/11/2023 14:52
820;316;;;;;;;;;;;;;;;0;0;1;1;0;1;1;3;3;3;3;;;2;30;5;19/11/2023 14:53
821;316;0;1;1;0;0;1;1;1;1;1;;;;24;;;;;;;;;;;;;;2;42;3;19/11/2023 14:55
822;316;1;1;1;0;0;1;1;1;1;1;;;;49;;;;;;;;;;;;;;2;31;3;19/11/2023 14:55
823;317;;;;;;;;;;;;;;;1;1;1;1;0;0;0;5;0;8;0;;;2;24;5;19/11/2023 14:55
824;317;1;1;1;1;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;1;31;4;19/11/2023 14:57
825;317;;;;;;;;;;;;;;;1;0;1;1;1;0;1;;;;;10;0;1;36;6;19/11/2023 14:57
826;317;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;3;43;4;19/11/2023 14:57
827;317;1;1;1;1;0;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;54;4;19/11/2023 14:57
828;317;0;0;1;0;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;1;23;4;19/11/2023 14:58
829;317;1;0;1;1;1;0;1;;;0;;1;1;20;;;;;;;;;;;;;;2;21;4;19/11/2023 14:58
830;318;0;1;1;0;1;1;1;1;1;1;;;;60;;;;;;;;;;;;;;1;34;3;19/11/2023 15:00
831;318;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;10;2;2;30;6;19/11/2023 15:01
832;318;0;1;0;0;0;0;1;;;1;;0;1;19;;;;;;;;;;;;;;2;35;4;19/11/2023 15:03
833;318;;;;;;;;;;;;;;;0;1;1;0;1;1;0;5;0;5;0;;;2;26;5;19/11/2023 15:04
834;318;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;10;0;1;30;6;19/11/2023 15:04
835;319;;;;;;;;;;;;;;;1;1;1;1;1;1;1;2;0;2;0;;;2;29;5;19/11/2023 15:07
836;319;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;40;3;19/11/2023 15:11
837;319;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;35;3;19/11/2023 15:13
838;319;;;;;;;;;;;;;;;1;0;1;1;1;0;0;;;;;8;0;2;24;6;19/11/2023 15:13
839;319;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;45;6;19/11/2023 15:13
840;320;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;5;2;2;28;6;19/11/2023 15:15
841;320;0;0;1;1;1;1;1;;;1;;1;1;40;;;;;;;;;;;;;;1;27;4;19/11/2023 15:16
842;320;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;23;4;19/11/2023 15:19
843;320;1;1;1;1;0;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;23;4;19/11/2023 15:20
844;320;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;1;39;4;19/11/2023 15:21
845;320;1;0;1;0;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;1;27;4;19/11/2023 15:22
846;320;0;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;2;36;4;19/11/2023 15:23
847;320;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;8;1;2;23;6;19/11/2023 15:23
848;320;1;0;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;2;45;3;19/11/2023 15:24
849;321;0;1;1;0;0;1;1;;;1;;0;1;78;;;;;;;;;;;;;;2;28;4;19/11/2023 15:26
850;321;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;33;6;19/11/2023 15:26
851;321;0;1;1;0;1;1;1;1;1;1;;;;10;;;;;;;;;;;;;;2;53;3;19/11/2023 15:26
852;321;1;1;1;0;0;1;1;;;;0;1;0;0;;;;;;;;;;;;;;1;31;4;19/11/2023 15:27
853;321;1;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;59;3;19/11/2023 15:29
854;321;1;1;1;0;1;0;1;;;1;;1;1;40;;;;;;;;;;;;;;2;23;4;19/11/2023 15:30
855;321;;;;;;;;;;;;;;;0;0;1;1;1;0;1;5;5;8;2;;;2;23;5;19/11/2023 15:30
856;321;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;0;2;45;6;19/11/2023 15:30
857;321;0;0;1;1;1;1;1;1;1;1;;;;40;;;;;;;;;;;;;;2;21;3;19/11/2023 15:34
858;321;0;0;1;0;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;1;44;4;19/11/2023 15:36
859;321;;;;;;;;;;;;;;;0;0;0;1;1;0;1;;;;;5;5;2;29;6;19/11/2023 15:38
860;322;1;1;1;0;0;1;1;;;0;;1;1;40;;;;;;;;;;;;;;2;24;4;19/11/2023 15:41
861;322;0;0;0;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;41;3;19/11/2023 15:41
862;322;0;1;1;1;1;1;1;;;;1;1;0;30;;;;;;;;;;;;;;2;30;4;19/11/2023 15:41
863;322;1;0;1;0;0;1;1;;;;1;1;0;30;;;;;;;;;;;;;;2;44;4;19/11/2023 15:41
864;322;0;0;1;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;2;27;4;19/11/2023 15:43
865;322;0;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;54;3;19/11/2023 15:43
866;322;1;1;0;1;0;1;1;1;1;1;;;;20;;;;;;;;;;;;;;2;18;3;19/11/2023 15:43
867;322;;;;;;;;;;;;;;;0;0;1;1;1;0;1;0;0;2;2;;;2;41;5;19/11/2023 15:43
868;323;0;0;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;38;3;19/11/2023 15:45
869;323;;;;;;;;;;;;;;;0;1;1;0;0;1;1;;;;;1;0;2;38;6;19/11/2023 15:45
870;323;0;1;0;0;1;1;1;;;1;;1;1;10;;;;;;;;;;;;;;2;52;4;19/11/2023 15:45
871;323;0;1;0;0;1;1;1;;;1;;0;1;50;;;;;;;;;;;;;;2;27;4;19/11/2023 15:46
872;323;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;4;0;2;27;6;19/11/2023 15:47
873;323;1;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;34;3;19/11/2023 15:47
874;323;1;0;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;41;4;19/11/2023 15:47
875;323;;;;;;;;;;;;;;;1;1;1;0;1;0;0;5;5;6;0;;;2;22;5;19/11/2023 15:47
