PID;Duration;A1comp1;A1comp2;A1comp3;A1comp4;A2comp1;A2comp2;A2comp3;A2comp4OB;checkObs;calcHelp;uncalcHelp;A2comp4HID;checkHid;return;G1Bcomp1;G1Bcomp2;G1Bcomp3;G1Bcomp4;G2Bcomp1;G2Bcomp2;G2Bcomp3;helpUncalc;noUncalc;helpCalc;noCalc;helpedHidB;noHelpdHidB;gender;age;Condition;RecordedDate
637;290;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;33;4;13/11/2023 19:07
638;387;;;;;;;;;;;;;;;0;1;0;0;1;0;1;10;2;10;2;;;2;41;5;13/11/2023 19:07
639;766;;;;;;;;;;;;;;;1;0;1;0;1;1;1;;;;;10;5;2;32;6;13/11/2023 19:07
640;358;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;4;2;1;29;6;13/11/2023 19:07
641;774;1;1;0;0;1;1;1;1;1;1;;;;20;;;;;;;;;;;;;;2;58;3;13/11/2023 19:07
642;387;1;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;4;39;4;13/11/2023 19:07
643;285;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;61;4;13/11/2023 19:07
644;849;;;;;;;;;;;;;;;0;0;1;1;1;1;0;5;5;5;5;;;1;68;5;13/11/2023 19:07
645;440;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;33;4;13/11/2023 19:07
646;713;0;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;40;4;13/11/2023 19:07
647;577;1;1;1;1;0;1;1;1;0;;1;;;10;;;;;;;;;;;;;;2;33;3;13/11/2023 19:07
648;739;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;1;54;6;13/11/2023 19:07
649;359;1;1;1;1;0;1;1;;;;1;1;0;50;;;;;;;;;;;;;;1;29;4;13/11/2023 19:07
650;521;;;;;;;;;;;;;;;1;1;1;1;0;1;0;;;;;10;10;2;62;6;13/11/2023 19:07
651;246;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;51;3;13/11/2023 19:07
652;476;;;;;;;;;;;;;;;1;1;1;0;1;1;1;10;0;5;0;;;1;55;5;13/11/2023 19:07
653;694;0;0;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;55;3;13/11/2023 19:07
654;447;0;1;0;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;35;4;13/11/2023 19:07
655;395;0;0;1;1;1;0;1;1;1;0;;;;0;;;;;;;;;;;;;;2;30;3;13/11/2023 19:07
656;277;;;;;;;;;;;;;;;1;0;1;1;0;1;1;10;0;10;0;;;1;28;5;13/11/2023 19:07
657;322;0;1;1;1;1;0;1;;;;1;1;0;75;;;;;;;;;;;;;;2;29;4;13/11/2023 19:07
658;456;1;1;1;1;0;1;1;1;1;1;;;;35;;;;;;;;;;;;;;2;36;3;13/11/2023 19:07
659;357;0;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;37;4;13/11/2023 19:08
660;279;1;0;1;0;1;0;1;;;;1;1;0;25;;;;;;;;;;;;;;2;40;4;13/11/2023 19:08
661;599;0;0;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;54;3;13/11/2023 19:08
662;700;;;;;;;;;;;;;;;1;0;1;0;1;1;1;5;0;5;0;;;1;70;5;13/11/2023 19:08
663;473;0;1;1;0;1;1;1;1;1;1;;;;5;;;;;;;;;;;;;;2;21;3;13/11/2023 19:08
664;350;1;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;1;55;3;13/11/2023 19:08
665;275;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;36;6;13/11/2023 19:08
666;599;0;1;1;1;1;0;1;;;1;;1;1;20;;;;;;;;;;;;;;2;28;4;13/11/2023 19:08
667;161;;;;;;;;;;;;;;;0;1;0;0;0;0;0;;;;;4;4;2;66;6;13/11/2023 19:08
668;383;0;0;1;1;1;0;1;1;1;0;;;;50;;;;;;;;;;;;;;2;46;3;13/11/2023 19:08
669;339;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;10;10;1;19;6;13/11/2023 19:08
670;387;;;;;;;;;;;;;;;1;0;1;1;0;0;1;0;0;5;5;;;1;22;5;13/11/2023 19:08
671;467;1;1;1;1;1;1;0;;;0;;1;1;20;;;;;;;;;;;;;;2;39;4;13/11/2023 19:08
672;391;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;5;2;39;6;13/11/2023 19:08
673;959;;;;;;;;;;;;;;;0;0;0;1;1;0;1;6;4;6;3;;;1;60;5;13/11/2023 19:08
674;376;1;1;1;0;1;1;0;1;0;;1;;;50;;;;;;;;;;;;;;2;66;3;13/11/2023 19:08
675;899;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;5;5;1;62;6;13/11/2023 19:08
676;424;0;1;0;1;0;1;0;;;1;;1;1;30;;;;;;;;;;;;;;2;47;4;13/11/2023 19:08
677;402;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;23;3;13/11/2023 19:08
678;327;1;0;1;1;0;1;1;1;1;1;;;;57;;;;;;;;;;;;;;2;30;3;13/11/2023 19:08
679;330;;;;;;;;;;;;;;;0;1;1;1;1;0;1;3;3;3;3;;;1;35;5;13/11/2023 19:08
680;272;0;1;1;1;0;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;26;3;13/11/2023 19:08
681;302;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;3;22;6;13/11/2023 19:08
682;825;;;;;;;;;;;;;;;1;1;1;1;1;0;1;10;0;0;0;;;1;44;5;13/11/2023 19:08
683;221;1;1;1;0;1;1;1;;;;0;1;0;0;;;;;;;;;;;;;;2;38;4;13/11/2023 19:08
684;441;;;;;;;;;;;;;;;0;1;1;1;1;0;1;;;;;10;4;1;29;6;13/11/2023 19:08
685;381;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;10;8;2;43;6;13/11/2023 19:08
686;398;;;;;;;;;;;;;;;1;1;1;0;1;1;1;5;0;10;0;;;1;21;5;13/11/2023 19:09
687;543;0;0;1;1;1;0;1;1;0;;1;;;9;;;;;;;;;;;;;;2;48;3;13/11/2023 19:09
688;256;;;;;;;;;;;;;;;0;0;1;1;1;0;1;1;1;10;2;;;2;35;5;13/11/2023 19:09
689;321;;;;;;;;;;;;;;;0;0;1;1;1;0;1;10;0;10;0;;;2;49;5;13/11/2023 19:09
690;319;1;1;1;1;1;1;1;1;0;;1;;;70;;;;;;;;;;;;;;1;43;3;13/11/2023 19:09
691;490;1;0;1;0;1;1;1;1;0;;1;;;30;;;;;;;;;;;;;;1;47;3;13/11/2023 19:09
692;358;;;;;;;;;;;;;;;0;1;1;1;1;0;0;10;6;4;10;;;2;22;5;13/11/2023 19:09
693;692;1;1;1;0;0;0;1;;;1;;0;1;50;;;;;;;;;;;;;;2;42;4;13/11/2023 19:09
694;249;0;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;42;3;13/11/2023 19:09
695;405;;;;;;;;;;;;;;;0;0;1;1;1;0;1;;;;;5;0;2;41;6;13/11/2023 19:09
696;390;;;;;;;;;;;;;;;0;0;1;1;0;0;1;;;;;10;5;1;36;6;13/11/2023 19:09
697;381;1;1;1;1;1;1;1;;;1;;1;1;33;;;;;;;;;;;;;;2;50;4;13/11/2023 19:09
698;361;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;8;1;2;34;6;13/11/2023 19:09
699;435;;;;;;;;;;;;;;;1;0;1;0;1;0;1;;;;;5;0;2;59;6;13/11/2023 19:09
700;374;1;0;0;0;0;1;1;;;0;;0;1;12;;;;;;;;;;;;;;2;45;4;13/11/2023 19:09
701;392;1;1;1;1;1;1;1;1;0;;1;;;0;;;;;;;;;;;;;;2;52;3;13/11/2023 19:09
702;604;0;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;2;54;4;13/11/2023 19:09
703;411;1;1;1;1;1;1;1;;;1;;1;1;41;;;;;;;;;;;;;;2;24;4;13/11/2023 19:09
704;455;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;20;4;13/11/2023 19:09
705;411;;;;;;;;;;;;;;;1;1;1;1;1;1;1;0;0;0;0;;;2;55;5;13/11/2023 19:09
706;526;1;1;1;1;1;1;1;;;1;;1;1;20;;;;;;;;;;;;;;2;23;4;13/11/2023 19:09
707;377;;;;;;;;;;;;;;;1;1;1;1;0;1;0;;;;;4;6;1;42;6;13/11/2023 19:09
708;260;0;1;1;1;1;1;1;0;0;;1;;;50;;;;;;;;;;;;;;2;39;3;13/11/2023 19:09
709;409;;;;;;;;;;;;;;;1;0;1;0;0;1;1;1;10;10;0;;;1;46;5;13/11/2023 19:09
710;539;0;1;1;1;0;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;29;3;13/11/2023 19:09
711;242;1;1;1;1;1;1;1;;;;0;1;0;40;;;;;;;;;;;;;;2;22;4;13/11/2023 19:09
712;440;0;1;0;1;0;0;1;;;0;;1;1;20;;;;;;;;;;;;;;1;26;4;13/11/2023 19:09
713;530;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;55;6;13/11/2023 19:09
714;304;0;1;1;1;1;0;1;1;0;;1;;;100;;;;;;;;;;;;;;1;30;3;13/11/2023 19:10
715;374;;;;;;;;;;;;;;;0;1;0;1;1;0;1;5;4;5;4;;;2;62;5;13/11/2023 19:10
716;227;;;;;;;;;;;;;;;0;1;1;1;1;1;1;10;10;10;5;;;1;33;5;13/11/2023 19:10
717;440;0;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;39;3;13/11/2023 19:10
718;370;;;;;;;;;;;;;;;0;0;1;1;1;1;1;;;;;10;0;1;27;6;13/11/2023 19:10
719;167;0;1;0;0;1;1;0;;;1;;0;1;94;;;;;;;;;;;;;;1;33;4;13/11/2023 19:10
720;1363;0;0;1;0;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;53;3;13/11/2023 19:10
721;486;;;;;;;;;;;;;;;0;0;1;1;1;0;1;10;10;10;10;;;2;54;5;13/11/2023 19:10
722;482;;;;;;;;;;;;;;;1;1;0;1;1;1;1;8;0;10;0;;;2;35;5;13/11/2023 19:10
723;377;;;;;;;;;;;;;;;0;1;1;0;1;1;0;;;;;10;10;2;49;6;13/11/2023 19:10
724;379;;;;;;;;;;;;;;;1;1;1;1;0;1;0;;;;;3;1;2;27;6;13/11/2023 19:10
725;364;0;0;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;38;4;13/11/2023 19:10
726;483;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;10;10;0;;;1;48;5;13/11/2023 19:10
727;384;;;;;;;;;;;;;;;1;1;1;0;0;1;1;5;5;5;5;;;2;49;5;13/11/2023 19:10
728;431;1;1;1;1;1;1;1;0;0;;1;;;50;;;;;;;;;;;;;;2;59;3;13/11/2023 19:10
729;281;0;1;0;1;0;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;32;3;13/11/2023 19:10
730;397;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;2;2;52;6;13/11/2023 19:10
731;365;;;;;;;;;;;;;;;1;1;1;1;0;0;1;6;4;5;4;;;1;20;5;13/11/2023 19:10
732;391;;;;;;;;;;;;;;;1;1;1;1;0;0;1;;;;;2;1;2;40;6;13/11/2023 19:10
733;1029;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;0;4;4;;;2;49;5;13/11/2023 19:10
734;469;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;25;5;13/11/2023 19:11
735;602;;;;;;;;;;;;;;;1;0;1;0;1;0;1;;;;;10;10;2;68;6;13/11/2023 19:11
736;258;0;1;0;1;1;0;1;;;;1;1;0;50;;;;;;;;;;;;;;1;29;4;13/11/2023 19:11
737;252;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;3;0;2;43;6;13/11/2023 19:11
738;360;;;;;;;;;;;;;;;0;0;1;0;1;1;1;;;;;4;2;2;57;6;13/11/2023 19:11
739;437;1;1;1;1;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;1;50;3;13/11/2023 19:11
740;415;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;5;4;;;1;30;5;13/11/2023 19:11
741;306;0;1;1;1;1;0;1;;;1;;1;1;38;;;;;;;;;;;;;;2;42;4;13/11/2023 19:11
742;555;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;46;5;13/11/2023 19:11
743;613;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;5;1;37;6;13/11/2023 19:11
744;576;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;57;4;13/11/2023 19:11
745;432;1;1;1;1;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;38;3;13/11/2023 19:11
746;344;;;;;;;;;;;;;;;1;1;1;0;1;0;1;3;0;3;0;;;1;35;5;13/11/2023 19:11
747;186;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;0;0;1;39;6;13/11/2023 19:11
748;932;0;0;1;0;0;1;1;;;;0;1;0;10;;;;;;;;;;;;;;2;21;4;13/11/2023 19:11
749;731;;;;;;;;;;;;;;;0;0;0;1;0;1;1;2;0;4;2;;;1;69;5;13/11/2023 19:11
750;831;;;;;;;;;;;;;;;1;0;1;0;1;1;1;0;0;0;0;;;2;36;5;13/11/2023 19:11
751;694;;;;;;;;;;;;;;;1;1;1;1;1;0;1;8;8;8;8;;;2;32;5;13/11/2023 19:11
752;243;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;46;4;13/11/2023 19:12
753;516;0;0;1;0;1;0;1;1;0;;1;;;50;;;;;;;;;;;;;;2;38;3;13/11/2023 19:12
754;509;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;7;5;1;37;6;13/11/2023 19:12
755;321;1;1;1;1;1;1;1;;;1;;1;1;30;;;;;;;;;;;;;;2;50;4;13/11/2023 19:12
756;653;;;;;;;;;;;;;;;0;1;1;0;1;1;1;2;0;5;0;;;1;67;5;13/11/2023 19:12
757;335;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;10;0;1;51;6;13/11/2023 19:12
758;606;1;1;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;65;3;13/11/2023 19:12
759;371;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;2;;;1;62;5;13/11/2023 19:12
760;255;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;22;6;13/11/2023 19:12
761;253;;;;;;;;;;;;;;;1;1;1;0;0;1;1;10;10;10;10;;;1;19;5;13/11/2023 19:12
762;241;0;1;1;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;30;4;13/11/2023 19:12
763;342;1;1;1;1;1;1;1;1;1;0;;;;10;;;;;;;;;;;;;;2;33;3;13/11/2023 19:12
764;460;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;1;32;6;13/11/2023 19:12
765;595;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;1;55;6;13/11/2023 19:12
766;617;1;1;1;1;1;1;1;;;;1;1;0;50;;;;;;;;;;;;;;2;52;4;13/11/2023 19:12
767;427;1;1;1;0;0;1;1;0;1;1;;;;10;;;;;;;;;;;;;;1;50;3;13/11/2023 19:12
768;600;;;;;;;;;;;;;;;1;1;1;0;1;0;1;6;2;4;4;;;1;51;5;13/11/2023 19:12
769;285;;;;;;;;;;;;;;;1;1;1;1;0;1;1;10;10;10;10;;;1;49;5;13/11/2023 19:12
770;654;;;;;;;;;;;;;;;0;1;1;1;1;1;1;5;5;10;0;;;2;27;5;13/11/2023 19:12
771;292;1;0;1;1;1;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;40;3;13/11/2023 19:12
772;230;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;0;2;35;6;13/11/2023 19:12
773;241;;;;;;;;;;;;;;;0;0;1;0;1;0;0;;;;;5;5;1;23;6;13/11/2023 19:12
774;424;;;;;;;;;;;;;;;0;1;0;0;1;0;1;;;;;10;10;2;39;6;13/11/2023 19:12
775;535;0;1;0;1;0;1;1;;;1;;1;1;30;;;;;;;;;;;;;;1;46;4;13/11/2023 19:12
776;355;;;;;;;;;;;;;;;1;1;1;0;0;1;0;10;10;6;4;;;1;20;5;13/11/2023 19:12
777;319;;;;;;;;;;;;;;;0;0;1;0;1;1;1;6;5;5;4;;;2;35;5;13/11/2023 19:13
778;531;;;;;;;;;;;;;;;0;0;1;0;1;1;1;4;5;6;7;;;1;28;5;13/11/2023 19:13
779;299;0;0;1;0;0;0;1;1;1;1;;;;50;;;;;;;;;;;;;;2;28;3;13/11/2023 19:13
780;459;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;5;10;2;24;6;13/11/2023 19:13
781;572;0;0;0;1;1;0;1;;;0;;0;1;40;;;;;;;;;;;;;;2;63;4;13/11/2023 19:13
782;426;;;;;;;;;;;;;;;1;1;1;0;0;1;1;0;0;0;0;;;2;32;5;13/11/2023 19:13
783;355;;;;;;;;;;;;;;;0;1;0;1;0;0;1;0;0;6;0;;;1;51;5;13/11/2023 19:13
784;424;;;;;;;;;;;;;;;0;0;1;1;1;0;0;;;;;10;2;2;44;6;13/11/2023 19:13
785;435;;;;;;;;;;;;;;;0;0;1;0;1;1;0;2;2;2;2;;;2;27;5;13/11/2023 19:13
786;306;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;4;0;2;35;6;13/11/2023 19:13
787;320;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;49;5;13/11/2023 19:13
788;293;;;;;;;;;;;;;;;0;1;0;1;1;0;1;;;;;5;0;2;50;6;13/11/2023 19:13
789;351;;;;;;;;;;;;;;;0;1;1;1;1;1;1;;;;;5;5;2;47;6;13/11/2023 19:13
790;1038;;;;;;;;;;;;;;;1;1;1;0;1;1;1;5;0;10;0;;;2;65;5;13/11/2023 19:13
791;506;1;1;1;0;1;1;1;0;1;1;;;;50;;;;;;;;;;;;;;1;60;3;13/11/2023 19:13
792;924;0;1;1;0;1;1;1;;;;0;1;0;50;;;;;;;;;;;;;;1;54;4;13/11/2023 19:13
793;462;0;1;1;0;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;20;3;13/11/2023 19:13
794;342;;;;;;;;;;;;;;;0;1;0;0;0;1;1;5;5;5;5;;;2;71;5;13/11/2023 19:13
795;536;1;1;1;1;1;1;1;;;1;;0;1;10;;;;;;;;;;;;;;1;37;4;13/11/2023 19:13
796;580;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;2;4;0;;;2;39;5;13/11/2023 19:13
797;458;1;1;1;1;1;1;1;1;1;0;;;;50;;;;;;;;;;;;;;2;56;3;13/11/2023 19:13
798;210;0;1;0;1;0;1;0;;;1;;1;1;52;;;;;;;;;;;;;;1;58;4;13/11/2023 19:13
799;708;1;1;0;0;0;1;1;0;1;1;;;;100;;;;;;;;;;;;;;1;22;3;13/11/2023 19:13
800;728;1;1;0;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;1;53;3;13/11/2023 19:14
801;300;;;;;;;;;;;;;;;1;1;1;1;1;1;1;8;5;5;6;;;2;46;5;13/11/2023 19:14
802;557;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;33;3;13/11/2023 19:14
803;623;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;43;4;13/11/2023 19:14
804;371;;;;;;;;;;;;;;;1;1;1;1;0;0;1;4;4;2;1;;;1;34;5;13/11/2023 19:14
805;482;1;0;1;1;1;0;1;0;1;1;;;;100;;;;;;;;;;;;;;1;32;3;13/11/2023 19:14
806;354;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;41;4;13/11/2023 19:14
807;393;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;44;6;13/11/2023 19:14
808;265;1;1;1;0;1;1;1;0;0;;0;;;50;;;;;;;;;;;;;;1;34;3;13/11/2023 19:14
809;254;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;10;0;1;40;6;13/11/2023 19:14
810;639;1;0;0;0;0;1;1;1;0;;0;;;50;;;;;;;;;;;;;;1;51;3;13/11/2023 19:14
811;538;0;1;1;0;1;1;1;;;1;;1;1;80;;;;;;;;;;;;;;1;34;4;13/11/2023 19:14
812;277;1;1;1;1;1;1;1;1;1;0;;;;0;;;;;;;;;;;;;;2;21;3;13/11/2023 19:14
813;612;0;1;0;0;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;57;4;13/11/2023 19:14
814;425;1;1;1;1;1;1;1;;;1;;1;1;0;;;;;;;;;;;;;;1;41;4;13/11/2023 19:14
815;801;;;;;;;;;;;;;;;1;0;1;0;1;1;0;;;;;5;8;1;65;6;13/11/2023 19:14
816;424;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;35;6;13/11/2023 19:14
817;339;;;;;;;;;;;;;;;1;1;1;0;1;0;1;;;;;3;3;2;72;6;13/11/2023 19:14
818;278;1;1;1;1;0;1;1;;;1;;1;1;33;;;;;;;;;;;;;;1;27;4;13/11/2023 19:14
819;504;;;;;;;;;;;;;;;0;0;1;1;1;0;1;2;4;6;0;;;1;30;5;13/11/2023 19:14
820;367;1;1;1;1;0;1;1;;;1;;1;1;60;;;;;;;;;;;;;;1;36;4;13/11/2023 19:14
821;371;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;5;0;2;27;6;13/11/2023 19:14
822;416;1;1;1;1;1;1;1;;;0;;1;1;0;;;;;;;;;;;;;;1;40;4;13/11/2023 19:14
823;296;;;;;;;;;;;;;;;1;0;1;1;1;1;1;10;2;10;0;;;2;28;5;13/11/2023 19:14
824;692;0;1;1;1;1;1;1;;;0;;1;1;50;;;;;;;;;;;;;;2;26;4;13/11/2023 19:14
825;367;0;0;1;0;1;0;1;;;1;;1;1;35;;;;;;;;;;;;;;2;34;4;13/11/2023 19:15
826;540;0;1;0;1;1;1;1;1;0;;1;;;0;;;;;;;;;;;;;;1;60;3;13/11/2023 19:15
827;322;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;10;1;33;6;13/11/2023 19:15
828;770;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;0;0;1;46;6;13/11/2023 19:15
829;527;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;10;10;2;41;6;13/11/2023 19:15
830;310;0;0;1;1;0;1;1;;;1;;1;1;100;;;;;;;;;;;;;;1;47;4;13/11/2023 19:15
831;583;0;0;1;0;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;61;3;13/11/2023 19:15
832;666;0;1;1;1;1;1;1;1;0;;1;;;100;;;;;;;;;;;;;;3;25;3;13/11/2023 19:15
833;406;1;1;0;0;0;1;1;1;1;1;;;;25;;;;;;;;;;;;;;1;54;3;13/11/2023 19:15
834;259;;;;;;;;;;;;;;;1;1;1;1;1;1;1;10;0;10;0;;;1;22;5;13/11/2023 19:15
835;488;;;;;;;;;;;;;;;0;1;1;1;0;0;1;10;0;10;0;;;1;39;5;13/11/2023 19:15
836;447;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;0;5;0;;;1;35;5;13/11/2023 19:15
837;960;1;1;1;1;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;41;3;13/11/2023 19:15
838;482;1;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;2;30;4;13/11/2023 19:15
839;199;;;;;;;;;;;;;;;1;1;1;1;1;1;0;0;0;0;0;;;1;31;5;13/11/2023 19:15
840;540;1;1;0;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;55;4;13/11/2023 19:15
841;527;;;;;;;;;;;;;;;1;0;1;1;1;1;1;;;;;2;5;2;49;6;13/11/2023 19:15
842;422;1;1;1;1;1;1;0;1;1;0;;;;0;;;;;;;;;;;;;;1;50;3;13/11/2023 19:15
843;521;0;1;1;1;1;1;1;;;1;;1;1;50;;;;;;;;;;;;;;1;26;4;13/11/2023 19:15
844;754;;;;;;;;;;;;;;;1;1;1;1;0;1;1;;;;;3;5;2;46;6;13/11/2023 19:16
845;302;1;1;1;1;0;1;1;;;1;;1;1;30;;;;;;;;;;;;;;1;38;4;13/11/2023 19:16
846;577;;;;;;;;;;;;;;;0;1;1;1;1;0;0;5;5;3;0;;;2;47;5;13/11/2023 19:16
847;383;0;1;1;1;1;1;1;;;0;;1;1;30;;;;;;;;;;;;;;2;23;4;13/11/2023 19:16
848;666;1;1;1;1;0;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;27;3;13/11/2023 19:16
849;438;;;;;;;;;;;;;;;0;0;1;0;1;0;1;;;;;10;4;2;40;6;13/11/2023 19:16
850;339;0;1;0;0;0;0;1;;;1;;1;1;50;;;;;;;;;;;;;;1;19;4;13/11/2023 19:16
851;380;;;;;;;;;;;;;;;1;0;1;0;0;1;1;;;;;2;3;2;47;6;13/11/2023 19:16
852;209;;;;;;;;;;;;;;;1;1;1;1;1;0;0;;;;;5;5;2;35;6;13/11/2023 19:16
853;537;1;1;1;1;1;0;1;1;1;1;;;;49;;;;;;;;;;;;;;1;24;3;13/11/2023 19:16
854;525;1;1;1;1;1;0;1;;;1;;1;1;50;;;;;;;;;;;;;;1;52;4;13/11/2023 19:16
855;486;0;1;1;1;1;1;1;1;1;1;;;;30;;;;;;;;;;;;;;2;34;3;13/11/2023 19:16
856;308;;;;;;;;;;;;;;;1;1;1;1;1;1;1;;;;;6;2;1;31;6;13/11/2023 19:16
857;360;;;;;;;;;;;;;;;1;1;1;1;0;1;1;4;1;3;2;;;1;20;5;13/11/2023 19:16
858;483;1;1;1;1;0;1;1;1;0;;1;;;100;;;;;;;;;;;;;;1;20;3;13/11/2023 19:16
859;228;;;;;;;;;;;;;;;1;1;1;0;1;1;0;;;;;10;0;1;21;6;13/11/2023 19:16
860;306;1;1;1;1;1;0;1;1;1;1;;;;50;;;;;;;;;;;;;;1;26;3;13/11/2023 19:16
861;796;1;1;1;0;1;1;1;1;1;1;;;;50;;;;;;;;;;;;;;2;63;3;13/11/2023 19:17
862;336;0;0;1;1;1;1;1;1;1;1;;;;0;;;;;;;;;;;;;;2;29;3;13/11/2023 19:17
863;272;0;1;1;1;0;0;0;;;1;;0;1;50;;;;;;;;;;;;;;2;54;4;13/11/2023 19:17
864;532;;;;;;;;;;;;;;;1;1;1;0;1;1;1;;;;;10;0;2;38;6;13/11/2023 19:17
865;366;;;;;;;;;;;;;;;1;1;1;1;1;1;1;5;5;10;0;;;1;67;5;13/11/2023 19:17
866;454;;;;;;;;;;;;;;;1;1;1;1;1;0;1;4;5;5;3;;;1;20;5;13/11/2023 19:17
867;118;;;;;;;;;;;;;;;1;0;0;0;1;1;0;7;5;4;3;;;1;24;5;13/11/2023 19:17
868;1441;;;;;;;;;;;;;;;1;1;1;1;1;1;0;6;7;2;6;;;1;27;5;13/11/2023 19:17
869;645;1;0;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;1;42;3;13/11/2023 19:17
870;221;;;;;;;;;;;;;;;1;1;1;1;1;0;1;;;;;3;0;2;22;6;13/11/2023 19:17
871;369;0;1;1;1;1;1;1;1;0;;1;;;50;;;;;;;;;;;;;;2;31;3;13/11/2023 19:17
