custom_id,persona_pid,record_id,metric,matched_value,candidate_uniform_value,diff
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__cohort_06_m8ak4g__game_2_alt_profile__p030__g028,concordia_0ff445a91dc0,chip3__cohort_06_m8ak4g__game_2_alt_profile,final_surplus,1.15,1.6666666666666665,-0.5166666666666666
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g11_m5wp7b__game_1__p030__g019,concordia_0ff445a91dc0,chip3__g11_m5wp7b__game_1,final_surplus,5.53,3.0999999999999996,2.4300000000000006
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g12_m5wp8p__game_2_alt_profile__p030__g029,concordia_0ff445a91dc0,chip3__g12_m5wp8p__game_2_alt_profile,final_surplus,1.2409999999999997,1.7699999999999996,-0.5289999999999999
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g13_m5wp8q__game_2_alt_profile__p030__g030,concordia_0ff445a91dc0,chip3__g13_m5wp8q__game_2_alt_profile,final_surplus,5.724,4.496666666666666,1.227333333333334
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g17_m5wp8w__game_1__p030__g020,concordia_0ff445a91dc0,chip3__g17_m5wp8w__game_1,final_surplus,2.7,2.733333333333334,-0.03333333333333366
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g20_m5wq93__game_1__p030__g021,concordia_0ff445a91dc0,chip3__g20_m5wq93__game_1,final_surplus,0.659999999999999,1.7999999999999996,-1.1400000000000006
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g3_m5wp6q__game_2_alt_profile__p030__g031,concordia_0ff445a91dc0,chip3__g3_m5wp6q__game_2_alt_profile,final_surplus,5.0783,5.203333333333332,-0.12503333333333266
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g6_m5wp77__game_1__p030__g022,concordia_0ff445a91dc0,chip3__g6_m5wp77__game_1,final_surplus,4.1,2.5,1.5999999999999996
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g7_m5wp78__game_1__p030__g023,concordia_0ff445a91dc0,chip3__g7_m5wp78__game_1,final_surplus,5.57,4.133333333333333,1.4366666666666674
concordia_compact_chip_match__pid_concordia_0ff445a91dc0__record_chip3__g7_m5wp78__game_2_alt_profile__p030__g032,concordia_0ff445a91dc0,chip3__g7_m5wp78__game_2_alt_profile,final_surplus,2.9730000000000008,-0.12666666666666676,3.0996666666666677
