domain,feature_name,feature_label,feature_value,metric_label,model_name,mean_wd,stderr,num_treatments
macro,opt_out_default,Opt-out default,False,Mean eff,gpt-5.1 baseline,0.23370454422624665,0.034348631546481934,24
macro,opt_out_default,Opt-out default,True,Mean eff,gpt-5.1 baseline,0.2546602542712776,0.028151954771887058,16
macro,opt_out_default,Opt-out default,False,Mean eff,gpt-5.1 twin,0.1986479092368436,0.023686907457623876,24
macro,opt_out_default,Opt-out default,True,Mean eff,gpt-5.1 twin,0.21267408506683277,0.024554454728124002,16
macro,punishment_enabled,Punishment enabled,False,Final-round contrib,gpt-5-mini baseline,0.5408253336833445,0.046076593272136784,20
macro,punishment_enabled,Punishment enabled,True,Final-round contrib,gpt-5-mini baseline,0.5341452000491838,0.05819675997113905,20
macro,punishment_enabled,Punishment enabled,False,Final-round contrib,gpt-5-mini twin,0.33880243020402656,0.03680397537545626,20
macro,punishment_enabled,Punishment enabled,True,Final-round contrib,gpt-5-mini twin,0.3141837714422443,0.04270445330114504,20
macro,punishment_enabled,Punishment enabled,False,Final-round contrib,gpt-5.1 baseline,0.43550018201004087,0.05811792121540699,20
macro,punishment_enabled,Punishment enabled,True,Final-round contrib,gpt-5.1 baseline,0.3563975448441949,0.05206774709500418,20
macro,punishment_enabled,Punishment enabled,False,Final-round contrib,gpt-5.1 twin,0.3386457347949608,0.04386987675897861,20
macro,punishment_enabled,Punishment enabled,True,Final-round contrib,gpt-5.1 twin,0.3300024903516172,0.04307078891858962,20
macro,punishment_enabled,Punishment enabled,False,Final-round eff,gpt-5-mini baseline,0.6554240575758298,0.058890398171736524,20
macro,punishment_enabled,Punishment enabled,True,Final-round eff,gpt-5-mini baseline,0.6684918563067892,0.11065831838193037,20
macro,punishment_enabled,Punishment enabled,False,Final-round eff,gpt-5-mini twin,0.4536194524784964,0.043625616477645617,20
macro,punishment_enabled,Punishment enabled,True,Final-round eff,gpt-5-mini twin,0.48883091935121536,0.10293381840972309,20
macro,punishment_enabled,Punishment enabled,False,Final-round eff,gpt-5.1 baseline,0.5419246978735578,0.06122085344445197,20
macro,punishment_enabled,Punishment enabled,True,Final-round eff,gpt-5.1 baseline,0.509908266521366,0.11097285214454693,20
macro,punishment_enabled,Punishment enabled,False,Final-round eff,gpt-5.1 twin,0.4419295484058402,0.05523168682751723,20
macro,punishment_enabled,Punishment enabled,True,Final-round eff,gpt-5.1 twin,0.4801690570640333,0.104490971052786,20
macro,punishment_enabled,Punishment enabled,False,First-round contrib,gpt-5-mini baseline,0.1386292557040912,0.014861773408799801,20
macro,punishment_enabled,Punishment enabled,True,First-round contrib,gpt-5-mini baseline,0.13350432364906045,0.012326315338002219,20
macro,punishment_enabled,Punishment enabled,False,First-round contrib,gpt-5-mini twin,0.07054112188980606,0.00775564060747264,20
macro,punishment_enabled,Punishment enabled,True,First-round contrib,gpt-5-mini twin,0.0739265078245341,0.008837465844303076,20
macro,punishment_enabled,Punishment enabled,False,First-round contrib,gpt-5.1 baseline,0.16395566640961373,0.017770992008882477,20
macro,punishment_enabled,Punishment enabled,True,First-round contrib,gpt-5.1 baseline,0.16193984000891895,0.019797349696734922,20
macro,punishment_enabled,Punishment enabled,False,First-round contrib,gpt-5.1 twin,0.11790684963793512,0.012596692514177677,20
macro,punishment_enabled,Punishment enabled,True,First-round contrib,gpt-5.1 twin,0.09810325541904485,0.013228022515938033,20
macro,punishment_enabled,Punishment enabled,False,First-round eff,gpt-5-mini baseline,0.13051761343673868,0.01329287938156989,20
macro,punishment_enabled,Punishment enabled,True,First-round eff,gpt-5-mini baseline,0.15239406479029044,0.018256119898419788,20
macro,punishment_enabled,Punishment enabled,False,First-round eff,gpt-5-mini twin,0.08434354803870409,0.007737954387098299,20
macro,punishment_enabled,Punishment enabled,True,First-round eff,gpt-5-mini twin,0.11446903822905932,0.015512074629831354,20
macro,punishment_enabled,Punishment enabled,False,First-round eff,gpt-5.1 baseline,0.17041131746607383,0.018147666774814327,20
macro,punishment_enabled,Punishment enabled,True,First-round eff,gpt-5.1 baseline,0.18347488503890183,0.016848119755191168,20
macro,punishment_enabled,Punishment enabled,False,First-round eff,gpt-5.1 twin,0.12767287219660498,0.013869454480054784,20
macro,punishment_enabled,Punishment enabled,True,First-round eff,gpt-5.1 twin,0.13490581436791652,0.016037370135951946,20
macro,punishment_enabled,Punishment enabled,False,Mean contrib,gpt-5-mini baseline,0.36248498421378395,0.03443950070656683,20
macro,punishment_enabled,Punishment enabled,True,Mean contrib,gpt-5-mini baseline,0.22551384414179135,0.025745562016211698,20
macro,punishment_enabled,Punishment enabled,False,Mean contrib,gpt-5-mini twin,0.2062884539199361,0.027063470138926234,20
macro,punishment_enabled,Punishment enabled,True,Mean contrib,gpt-5-mini twin,0.1508685701589029,0.022108827643814728,20
macro,punishment_enabled,Punishment enabled,False,Mean contrib,gpt-5.1 baseline,0.21468915713062148,0.03286436792060005,20
macro,punishment_enabled,Punishment enabled,True,Mean contrib,gpt-5.1 baseline,0.1487221806995092,0.020321018703478595,20
macro,punishment_enabled,Punishment enabled,False,Mean contrib,gpt-5.1 twin,0.17382627240848483,0.01957133625614481,20
macro,punishment_enabled,Punishment enabled,True,Mean contrib,gpt-5.1 twin,0.13318750871521762,0.014988330975357914,20
macro,punishment_enabled,Punishment enabled,False,Mean eff,gpt-5-mini baseline,0.4342019943479082,0.03922543608711654,20
macro,punishment_enabled,Punishment enabled,True,Mean eff,gpt-5-mini baseline,0.27364927486718277,0.031909051626198566,20
macro,punishment_enabled,Punishment enabled,False,Mean eff,gpt-5-mini twin,0.27435350656491575,0.030366253716275694,20
macro,punishment_enabled,Punishment enabled,True,Mean eff,gpt-5-mini twin,0.21286842401999118,0.02927465411437657,20
macro,punishment_enabled,Punishment enabled,False,Mean eff,gpt-5.1 baseline,0.2742637719118515,0.03808144549220036,20
macro,punishment_enabled,Punishment enabled,True,Mean eff,gpt-5.1 baseline,0.20990988457666665,0.02581309369202229,20
