config_feature,config_value,n_games,n_player_round_rows,share_any,mean_units,median_units,p95_units,mean_targets,conditional_mean_units_if_any,delta_vs_overall_mean_units,delta_vs_overall_share_any
CONFIG_numRounds,3,2,102,0.16666666666666666,0.3627450980392157,0.0,2.9499999999999886,0.3627450980392157,2.176470588235294,-0.656909352594055,-0.010187911685055756
CONFIG_numRounds,30,1,450,0.022222222222222223,0.057777777777777775,0.0,0.0,0.04888888888888889,2.6,-0.9618766728554929,-0.1546323561295002
CONFIG_numRounds,4,10,412,0.24029126213592233,0.633495145631068,0.0,3.4499999999999886,0.5946601941747572,2.6363636363636362,-0.38615930500220275,0.06343668378419992
CONFIG_numRounds,5,6,420,0.25476190476190474,1.3023809523809524,0.0,9.0,1.1071428571428572,5.11214953271028,0.28272650174768166,0.07790732641018233
CONFIG_numRounds,6,6,336,0.14285714285714285,0.49107142857142855,0.0,5.0,0.4851190476190476,3.4375,-0.5285830220618422,-0.033997435494579564
CONFIG_numRounds,7,6,455,0.07032967032967033,0.14725274725274726,0.0,1.0,0.08791208791208792,2.09375,-0.8724017033805235,-0.10652490802205208
CONFIG_numRounds,8,10,848,0.16273584905660377,0.4740566037735849,0.0,3.0,0.4410377358490566,2.9130434782608696,-0.5455978468596858,-0.014118729295118648
CONFIG_numRounds,9,2,306,0.21241830065359477,1.0,0.0,8.0,0.9934640522875817,4.707692307692308,-0.01965445063327076,0.03556372230187235
CONFIG_playerCount,10,12,1428,0.15336134453781514,1.4719887955182074,0.0,7.0,0.6176470588235294,9.598173515981735,0.4523343448849366,-0.023493233813907277
CONFIG_playerCount,11,10,1750,0.17257142857142857,3.4771428571428573,0.0,6.0,0.532,20.149006622516556,2.4574884065095866,-0.004283149780293843
CONFIG_playerCount,12,8,1764,0.15532879818594103,0.3611111111111111,0.0,2.0,0.3066893424036281,2.3248175182481754,-0.6585433395221596,-0.021525780165781383
CONFIG_playerCount,13,12,2678,0.22628827483196415,1.1426437640029874,0.0,5.0,0.7460791635548917,5.0495049504950495,0.12298931336971664,0.049433696480241734
CONFIG_playerCount,14,8,1904,0.10609243697478991,0.6848739495798319,0.0,4.0,0.39915966386554624,6.455445544554456,-0.3347805010534388,-0.0707621413769325
CONFIG_playerCount,15,11,2899,0.17005864091065884,0.7702656088306312,0.0,4.0,0.5843394273887548,4.529411764705882,-0.24938884180263954,-0.0067959374410635764
CONFIG_playerCount,16,10,1504,0.1622340425531915,1.8816489361702127,0.0,8.849999999999909,0.5498670212765957,11.598360655737705,0.8619944855369419,-0.014620535798530926
CONFIG_playerCount,17,10,1836,0.2587145969498911,1.667755991285403,0.0,11.25,1.3137254901960784,6.446315789473684,0.6481015406521322,0.08186001859816866
CONFIG_playerCount,18,10,3276,0.17063492063492064,0.5274725274725275,0.0,3.0,0.40476190476190477,3.0912343470483004,-0.4921819231607433,-0.006219657716801774
CONFIG_playerCount,19,10,2239,0.17284502009825814,0.8579723090665475,0.0,4.0,0.6382313532827155,4.963824289405685,-0.16168214156672323,-0.004009558253464274
CONFIG_playerCount,2,6,232,0.06465517241379311,0.09051724137931035,0.0,1.0,0.06465517241379311,1.4,-0.9291372092539604,-0.1121994059379293
CONFIG_playerCount,20,4,600,0.14333333333333334,0.5216666666666666,0.0,3.0,0.465,3.63953488372093,-0.49798778396660415,-0.03352124501838907
