role_slice,game,n_case_groups,mean_abs_error_relative_payoff_diff_pct,median_abs_error_relative_payoff_diff_pct,summary_scope,run_name,run_label
both,Responder,3,28.19827083292367,29.155605372347782,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Sender,3,1.273701768587343,0.952976672308492,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Receiver,3,0.0292993460918674,0.0039953653761637,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,PD,3,16.925173126370414,17.438833940655908,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,SH,3,1.3887609160805523,0.847691882428836,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,C,3,7.044945661078039,6.782808148107689,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Proposer,3,34.605679531493074,30.673292875232953,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,Responder,3,48.78391169317623,59.890812263788675,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Sender,3,0.6999636143612838,0.6806976230774753,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Receiver,3,0.0720773060386019,0.0704997650007754,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,PD,3,7.00366496826674,6.6489991008471065,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,SH,3,0.6056269744455974,0.5348597166181852,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,C,3,7.839322447344952,9.273114521325995,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Proposer,3,12.78541320834554,17.468997168245295,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,Responder,3,8.69577357816199,5.031880062036855,by_game_non_benchmark,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,ALL,4,11.438093944492064,8.839771408159441,overall,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
no,ALL,4,16.11306997421047,8.527660968816559,overall,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
yes,ALL,4,6.957473769600467,1.3166603521880145,overall,twin_sampled_seed_0_gpt_5_mini,Twin-Sampled
both,Sender,4,0.9540965038858236,1.0118478180881851,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,Receiver,4,0.084121375557547,0.0809181849216966,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,PD,4,14.229300450810982,13.203350527660774,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,SH,4,0.7048625849790185,0.6217195911574658,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
both,C,4,8.858627387196577,9.867019824149423,by_game,twin_sampled_unadjusted_seed_0_gpt_5_mini,Twin Unadjusted
