case_group,role_slice,game,mean_expected_payoff,benchmark_mean_expected_payoff,data_source,relative_payoff_diff_pct
Benchmark,no,C,3.7369387755102044,3.7369387755102044,human,0.0
Benchmark,no,Proposer,4.270816326530612,4.270816326530612,human,0.0
Benchmark,no,Responder,3.3659183673469384,3.3659183673469384,human,0.0
Benchmark,yes,Sender,5.546530612244899,5.546530612244899,human,0.0
Benchmark,yes,Receiver,5.210612244897959,5.210612244897959,human,0.0
Benchmark,yes,PD,4.312448979591837,4.312448979591837,human,0.0
Benchmark,yes,SH,6.52469387755102,6.52469387755102,human,0.0
Benchmark,yes,C,3.7369387755102044,3.7369387755102044,human,0.0
Benchmark,yes,Proposer,4.18,4.18,human,0.0
Benchmark,yes,Responder,3.552857142857143,3.552857142857143,human,0.0
AIR,both,Sender,5.540816326530612,5.546530612244899,human,-0.10302450511445738
AIR,both,Receiver,5.0786734693877555,5.159285714285715,human,-1.562469096734631
AIR,both,PD,4.735,4.312448979591837,human,9.798400454308842
AIR,both,SH,6.6,6.584693877551021,human,0.23245002324498998
AIR,both,C,2.5305102040816325,3.7369387755102044,human,-32.283873081754145
AIR,both,Proposer,4.117857142857143,4.225408163265306,human,-2.5453403849404643
AIR,both,Responder,3.453979591836734,3.459387755102041,human,-0.1563329597074059
AIR,no,Sender,5.540816326530612,5.546530612244899,human,-0.10302450511445738
AIR,no,Receiver,5.0,5.1079591836734695,human,-2.113548283990574
AIR,no,PD,6.59,4.312448979591837,human,52.81340211064312
