custom_id,record_id,unit_id,treatment_name,variant,model,num_days,num_trials_per_day,num_ratings
longitudinal_trust_game_ht863__6158a0e82fe530183cc203e5,6158a0e82fe530183cc203e5,6158a0e82fe530183cc203e5,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6158a7dd5708a388b0610f8e,6158a7dd5708a388b0610f8e,6158a7dd5708a388b0610f8e,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615948751c9f4e7d93db2a77,615948751c9f4e7d93db2a77,615948751c9f4e7d93db2a77,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6159a044cae3037ed9d75498,6159a044cae3037ed9d75498,6159a044cae3037ed9d75498,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6159bd77003d659cd075a83c,6159bd77003d659cd075a83c,6159bd77003d659cd075a83c,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6159dfdb9f4225bf90199071,6159dfdb9f4225bf90199071,6159dfdb9f4225bf90199071,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__6159e7b37fa10a67e006ea1d,6159e7b37fa10a67e006ea1d,6159e7b37fa10a67e006ea1d,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615a04685ccd2763823852f7,615a04685ccd2763823852f7,615a04685ccd2763823852f7,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615a1abda2e5d2f15bb42baf,615a1abda2e5d2f15bb42baf,615a1abda2e5d2f15bb42baf,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615a322d9178283ad2b793aa,615a322d9178283ad2b793aa,615a322d9178283ad2b793aa,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
longitudinal_trust_game_ht863__615ab6108d1595700cd36241,615ab6108d1595700cd36241,615ab6108d1595700cd36241,LONGITUDINAL_TRUST_PANEL,twin_sampled_unadjusted_seed_0,gpt-5.1,10,16,160
