source,factor,factor_type,split,cluster,cluster_label,delta_prob
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,0.02076987346587275
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,-0.04767728386932771
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.014303917408080846
predicted_val_treatment_mix,CONFIG_showOtherSummaries,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.011304765397285019
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,0.008574867664027375
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,-0.06176220968340759
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,0.012940322067784116
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.030143816674332136
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,0.015324081685428877
predicted_val_treatment_mix,CONFIG_showPunishmentId,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.005220878408164903
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,0.008574867664027375
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,-0.06176220968340759
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,0.012940322067784116
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.030143816674332136
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,0.015324081685428877
predicted_val_treatment_mix,CONFIG_showRewardId,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.005220878408164903
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_1_prob,strong_mildly_conditional_cooperator,0.05191723800434424
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_2_prob,opportunistic_free_rider,-0.010303673611275294
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_3_prob,fragile_high_cooperator,-0.08434462330622053
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_4_prob,near_unconditional_full_cooperator,0.02900841883452651
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_5_prob,unknown_or_sparse_info,-0.011067287725659486
predicted_val_treatment_mix,CONFIG_showNRounds,binary,1 - 0,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.024789927804284517
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_1_prob,strong_mildly_conditional_cooperator,-0.042309593235601226
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_2_prob,opportunistic_free_rider,0.03513034056911596
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_3_prob,fragile_high_cooperator,-0.001749965874104531
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_4_prob,near_unconditional_full_cooperator,0.006369236627656483
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_5_prob,unknown_or_sparse_info,0.006807145352418345
predicted_val_treatment_mix,CONFIG_playerCount,median_split,> 6.5 minus <= 6.5,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.00424716343948503
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_1_prob,strong_mildly_conditional_cooperator,0.011499537757237277
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_2_prob,opportunistic_free_rider,-0.08466266893528682
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_3_prob,fragile_high_cooperator,0.05696633009031016
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_4_prob,near_unconditional_full_cooperator,0.005325187730933073
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_5_prob,unknown_or_sparse_info,0.014310258352717722
predicted_val_treatment_mix,CONFIG_numRounds,median_split,> 14.5 minus <= 14.5,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,-0.003438644995911344
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_1_prob,strong_mildly_conditional_cooperator,0.053349831831149275
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_2_prob,opportunistic_free_rider,-0.04647966773127435
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_3_prob,fragile_high_cooperator,0.0019325303846016162
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_4_prob,near_unconditional_full_cooperator,-0.06405583188798872
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_5_prob,unknown_or_sparse_info,0.01296363705287086
predicted_val_treatment_mix,CONFIG_MPCR,median_split,> 0.485 minus <= 0.485,cluster_6_prob,moderate_payoff_aware_conditional_cooperator,0.04228950035064133
