domain,feature_name,feature_label,metric_label,model_name,wd_diff_true_minus_false,diff_stderr,true_num_treatments,false_num_treatments
macro,show_other_summaries,Show outcome summaries,Final-round contrib,gpt-5.1 baseline,-0.18215830417165396,0.07991007323005984,26,14
macro,show_other_summaries,Show outcome summaries,Final-round contrib,gpt-5.1 twin,-0.20009256635257466,0.058443770966930764,26,14
macro,show_other_summaries,Show outcome summaries,Final-round eff,gpt-5-mini baseline,-0.26381946760665187,0.14761986351963516,26,14
macro,show_other_summaries,Show outcome summaries,Final-round eff,gpt-5-mini twin,-0.25561232650335874,0.13753382930679434,26,14
macro,show_other_summaries,Show outcome summaries,Final-round eff,gpt-5.1 baseline,-0.2755869385035843,0.15293472757524595,26,14
macro,show_other_summaries,Show outcome summaries,Final-round eff,gpt-5.1 twin,-0.2891060299548646,0.14529570902632227,26,14
macro,show_other_summaries,Show outcome summaries,First-round contrib,gpt-5-mini baseline,0.046619073566821545,0.016512824695283295,26,14
macro,show_other_summaries,Show outcome summaries,First-round contrib,gpt-5-mini twin,0.027510320969329073,0.009811040048587393,26,14
macro,show_other_summaries,Show outcome summaries,First-round contrib,gpt-5.1 baseline,0.002629538608789589,0.023935829496609887,26,14
macro,show_other_summaries,Show outcome summaries,First-round contrib,gpt-5.1 twin,0.025200683842510785,0.016457814814469073,26,14
macro,show_other_summaries,Show outcome summaries,First-round eff,gpt-5-mini baseline,0.04719819410502733,0.021076566893133305,26,14
macro,show_other_summaries,Show outcome summaries,First-round eff,gpt-5-mini twin,0.03935806679583717,0.01623449301489498,26,14
macro,show_other_summaries,Show outcome summaries,First-round eff,gpt-5.1 baseline,-0.0011081728148891745,0.023794218229351505,26,14
macro,show_other_summaries,Show outcome summaries,First-round eff,gpt-5.1 twin,0.022193804002664214,0.019897031518282392,26,14
macro,show_other_summaries,Show outcome summaries,Mean contrib,gpt-5-mini baseline,-0.11131733860058635,0.046752863859928176,26,14
macro,show_other_summaries,Show outcome summaries,Mean contrib,gpt-5-mini twin,-0.096991589159623,0.038275460521013396,26,14
macro,show_other_summaries,Show outcome summaries,Mean contrib,gpt-5.1 baseline,-0.025486083257125064,0.04304848512233786,26,14
macro,show_other_summaries,Show outcome summaries,Mean contrib,gpt-5.1 twin,-0.05764270796608467,0.02691344775614015,26,14
macro,show_other_summaries,Show outcome summaries,Mean eff,gpt-5-mini baseline,-0.11465105278245691,0.05574338274319194,26,14
macro,show_other_summaries,Show outcome summaries,Mean eff,gpt-5-mini twin,-0.0970106193995561,0.04599274757442031,26,14
macro,show_other_summaries,Show outcome summaries,Mean eff,gpt-5.1 baseline,-0.0366264407341666,0.048812195200560175,26,14
macro,show_other_summaries,Show outcome summaries,Mean eff,gpt-5.1 twin,-0.07082635992778971,0.035265674046025416,26,14
micro,all_or_nothing,All-or-nothing,Player mean contrib,gpt-5-mini baseline,-0.0767059859801868,0.04589201182005642,18,22
micro,all_or_nothing,All-or-nothing,Player mean contrib,gpt-5-mini twin,-0.09130030742292454,0.03287272126115707,18,22
micro,all_or_nothing,All-or-nothing,Player mean contrib,gpt-5.1 baseline,0.0027095230818773575,0.035963478379776856,18,22
micro,all_or_nothing,All-or-nothing,Player mean contrib,gpt-5.1 twin,-0.05509859069859471,0.023063425970869363,18,22
micro,all_or_nothing,All-or-nothing,Player mean payoff,gpt-5-mini baseline,-0.06914990516197872,0.055494775761971746,18,22
