simbench_row_id,dataset_name,group_size,tvd_baseline,tvd_twin,jsd_baseline,jsd_twin,predicted_entropy_baseline,predicted_entropy_twin,normalized_predicted_entropy_baseline,normalized_predicted_entropy_twin,modal_match_baseline,modal_match_twin
simbenchpop_000291,Choices13k,17,0.1235294117647058,0.2454044117647058,0.0077693881230988,0.0304215125360458,0.6931471805599453,0.6631387578644607,1.0,0.9567069973923248,0.0,0
simbenchpop_000292,Choices13k,15,0.0333333333333333,0.1088541666666666,0.0005562771410977,0.0061270652081087,0.6931471805599453,0.6521491920226654,1.0,0.9408524052508438,1.0,1
simbenchpop_000293,Choices13k,16,0.35,0.4703124999999999,0.0726528942030465,0.1232220215971096,0.6931471805599453,0.6639109354715803,1.0,0.9578210141968015,0.0,0
simbenchpop_000294,Choices13k,17,0.1941176470588235,0.3355238970588234,0.0197294513617115,0.0575717308442742,0.6931471805599453,0.6526047949775426,1.0,0.9415097013744596,0.0,0
simbenchpop_000295,Choices13k,17,0.3705882352941175,0.4932444852941176,0.0836072368131616,0.1380812854241077,0.6931471805599453,0.66274877667148,1.0,0.9561443734591714,0.0,0
simbenchpop_000296,Choices13k,15,0.1933333333333334,0.3245833333333334,0.0195627122831016,0.0538714543606316,0.6931471805599453,0.6582870565375478,1.0,0.949707471948113,0.0,0
simbenchpop_000297,Choices13k,16,0.0124999999999999,0.11328125,7.813924547963712e-05,0.0065568724772901,0.6931471805599453,0.6611628531936753,1.0,0.9538563695225132,1.0,1
simbenchpop_000298,Choices13k,16,0.125,0.0226562499999999,0.0079589979174945,0.0002772989866867,0.6931471805599453,0.6488854516614226,1.0,0.9361438232169296,1.0,1
simbenchpop_000299,Choices13k,15,0.06,0.20140625,0.0018076085955801,0.0205627247037356,0.6931471805599453,0.6526047949775426,1.0,0.9415097013744596,0.0,0
simbenchpop_000300,Choices13k,16,0.025,0.1109374999999999,0.0003127281172086,0.0063319923994116,0.6931471805599453,0.6557198542350545,1.0,0.9460037819173472,1.0,1
simbenchpop_000301,Choices13k,16,0.0625,0.0843749999999999,0.001962088084999,0.0037282574277236,0.6931471805599453,0.6493597029174414,1.0,0.9368280231521232,1.0,1
simbenchpop_000302,Choices13k,15,0.0866666666666666,0.2249479166666667,0.0037889105845087,0.0255897995508187,0.6931471805599453,0.6544006955522966,1.0,0.9441006382275868,0.0,0
simbenchpop_000303,Choices13k,17,0.0647058823529412,0.0688878676470587,0.0021037278224257,0.0024722646029727,0.6931471805599453,0.6570152863754559,1.0,0.9478726954421124,1.0,1
simbenchpop_000304,Choices13k,17,0.2647058823529411,0.1115808823529411,0.03832064266848,0.0075773135229902,0.6931471805599453,0.6454906488990391,1.0,0.9312461581068427,1.0,1
simbenchpop_000305,Choices13k,17,0.3,0.146875,0.0506718369855658,0.0137014228933295,0.6931471805599453,0.6454906488990391,1.0,0.9312461581068427,1.0,1
simbenchpop_000306,Choices13k,16,0.1999999999999999,0.3210937499999999,0.021005925701837,0.0528356211389707,0.6931471805599453,0.6635261434332931,1.0,0.957265876631391,0.0,0
