treatment_name,metric,generated_game_count,human_game_count,wasserstein_distance,run_name,run_label,treatment_label,score,family_name
VALIDATION_6_C,mean_total_contribution_rate,12,12,0.5315289311383061,baseline_gpt_5_mini,Baseline,6-C,0.5315289311383061,gpt-5-mini
VALIDATION_6_T,mean_total_contribution_rate,11,11,0.220665295878364,baseline_gpt_5_mini,Baseline,6-T,0.220665295878364,gpt-5-mini
VALIDATION_7_C,mean_total_contribution_rate,11,11,0.6541380914407231,baseline_gpt_5_mini,Baseline,7-C,0.6541380914407231,gpt-5-mini
VALIDATION_7_T,mean_total_contribution_rate,12,12,0.2211787280701754,baseline_gpt_5_mini,Baseline,7-T,0.2211787280701754,gpt-5-mini
VALIDATION_8_C,mean_total_contribution_rate,12,12,0.2670138888888889,baseline_gpt_5_mini,Baseline,8-C,0.2670138888888889,gpt-5-mini
VALIDATION_8_T,mean_total_contribution_rate,11,11,0.1661363636363636,baseline_gpt_5_mini,Baseline,8-T,0.1661363636363636,gpt-5-mini
VALIDATION_9_C,mean_total_contribution_rate,11,11,0.2707304732304732,baseline_gpt_5_mini,Baseline,9-C,0.2707304732304732,gpt-5-mini
VALIDATION_9_T,mean_total_contribution_rate,11,11,0.2665850101077374,baseline_gpt_5_mini,Baseline,9-T,0.2665850101077374,gpt-5-mini
VALIDATION_0_C,mean_round_normalized_efficiency,10,10,0.4612700286936095,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,0-C,0.4612700286936095,gpt-5-mini
VALIDATION_0_T,mean_round_normalized_efficiency,12,12,0.1213820877758286,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,0-T,0.1213820877758286,gpt-5-mini
VALIDATION_10_C,mean_round_normalized_efficiency,10,10,0.5349803130702007,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,10-C,0.5349803130702007,gpt-5-mini
VALIDATION_10_T,mean_round_normalized_efficiency,10,10,0.3880966100067223,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,10-T,0.3880966100067223,gpt-5-mini
VALIDATION_11_C,mean_round_normalized_efficiency,10,10,0.4034475487105872,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,11-C,0.4034475487105872,gpt-5-mini
VALIDATION_11_T,mean_round_normalized_efficiency,11,11,0.2656124604979397,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,11-T,0.2656124604979397,gpt-5-mini
VALIDATION_12_C,mean_round_normalized_efficiency,12,12,0.4656911375661375,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,12-C,0.4656911375661375,gpt-5-mini
VALIDATION_12_T,mean_round_normalized_efficiency,12,12,0.2117230347469318,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,12-T,0.2117230347469318,gpt-5-mini
VALIDATION_13_C,mean_round_normalized_efficiency,10,10,0.5320816300263954,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,13-C,0.5320816300263954,gpt-5-mini
VALIDATION_13_T,mean_round_normalized_efficiency,11,11,0.4295323484098732,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,13-T,0.4295323484098732,gpt-5-mini
VALIDATION_14_C,mean_round_normalized_efficiency,12,12,0.4956779970760233,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,14-C,0.4956779970760233,gpt-5-mini
VALIDATION_14_T,mean_round_normalized_efficiency,10,10,0.4525,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,14-T,0.4525,gpt-5-mini
VALIDATION_15_C,mean_round_normalized_efficiency,11,11,0.2760271681781422,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,15-C,0.2760271681781422,gpt-5-mini
VALIDATION_15_T,mean_round_normalized_efficiency,9,9,0.1162714071642643,demographic_only_row_resampled_seed_0_gpt_5_mini,Demographic Only,15-T,0.1162714071642643,gpt-5-mini
