config_feature,config_value,n_games,mean_slope_per_unit_progress,median_slope_per_unit_progress,mean_last_minus_first,median_last_minus_first,share_negative_slope,share_last_below_first,delta_vs_overall_mean_slope
CONFIG_playerCount,10,22,1.0534176363739953,0.9031376518218602,1.3003607503607506,2.0,0.2727272727272727,0.22727272727272727,0.8110079869019601
CONFIG_playerCount,11,20,0.5440845514215853,0.44879097510676236,1.272238455988456,3.011904761904762,0.45,0.35,0.30167490194955005
CONFIG_playerCount,12,18,0.2470985449467952,1.1868201243201217,1.2798019881353215,1.3522727272727275,0.4444444444444444,0.3888888888888889,0.00468889547475998
CONFIG_playerCount,13,18,0.683517199519462,1.0568265546713866,0.28977812311145645,0.10897435897435948,0.3333333333333333,0.4444444444444444,0.44110755004742674
CONFIG_playerCount,14,20,0.6837663658422125,0.6766361717100511,0.7059190809190807,0.8571428571428568,0.2,0.4,0.44135671637017726
CONFIG_playerCount,15,19,0.31933420676546764,0.22480376766091156,0.3952638005269583,0.5128205128205128,0.42105263157894735,0.3157894736842105,0.07692455729343242
CONFIG_playerCount,16,22,1.5353763188617002,1.1736359126984113,2.0124167499167496,1.7104166666666663,0.2727272727272727,0.13636363636363635,1.292966669389665
CONFIG_playerCount,17,20,0.09803886340975017,0.6655736804525741,1.6977030812324927,1.5808823529411757,0.45,0.3,-0.14437078606228504
CONFIG_playerCount,18,20,1.6434251318049546,1.689109010607603,1.880817846369317,2.3809523809523823,0.3,0.35,1.4010154823329195
CONFIG_playerCount,19,20,0.8975635780730201,1.1664082372959654,1.3209408324733403,1.0540935672514617,0.4,0.35,0.6551539286009849
CONFIG_playerCount,2,8,-2.101407802723583,4.203121925166222e-15,-3.125,0.0,0.375,0.375,-2.3438174521956183
CONFIG_playerCount,20,8,-1.55372719640255,0.29743603078843567,-0.28171439628482964,0.5,0.375,0.375,-1.7961368458745852
CONFIG_playerCount,3,16,0.475608766233767,1.2286961664808889e-15,-0.25,0.0,0.5,0.1875,0.2331991167617318
CONFIG_playerCount,4,24,0.20260525663709394,1.575549450549449,0.010416666666666666,2.291666666666667,0.4583333333333333,0.4166666666666667,-0.03980439283494128
CONFIG_playerCount,5,18,-0.4675956995047444,-0.8367024280067745,0.22500000000000023,-1.875,0.5,0.5555555555555556,-0.7100053489767796
CONFIG_playerCount,6,21,-2.6230073449204876,-2.061764705882343,-2.3261904761904764,-1.166666666666666,0.6190476190476191,0.5238095238095238,-2.8654169943925227
CONFIG_playerCount,7,24,0.30855042150864814,-0.24761904761904072,0.537698412698413,-0.23809523809523725,0.5416666666666666,0.5,0.06614077203661292
CONFIG_playerCount,8,22,0.549005156526093,0.3750000000000059,1.0181277056277058,0.0,0.45454545454545453,0.4090909090909091,0.3065955070540578
CONFIG_playerCount,9,20,-0.4528314748303499,-0.6086956521739085,0.1851190476190477,0.22222222222222232,0.55,0.45,-0.6952411243023852
CONFIG_punishmentExists,False,180,-0.46485022537691456,-0.0560037348272664,-0.27620718658515353,0.0,0.5222222222222223,0.45,-0.7072598748489498
CONFIG_punishmentExists,True,180,0.9496695243209851,1.3378032302664593,1.4395304219678577,1.916666666666667,0.31666666666666665,0.29444444444444445,0.7072598748489498
CONFIG_punishmentMagnitude,1,8,0.49536615020929164,2.0532004974729507,0.5462415444033087,3.471153846153846,0.375,0.375,0.2529565007372564
CONFIG_punishmentMagnitude,10,18,-0.5306633360810228,0.16666666666665556,0.22757397305900964,0.41666666666666696,0.5,0.3888888888888889,-0.773072985553058
CONFIG_punishmentMagnitude,11,32,1.9179885498303844,2.216923701298707,2.6992192630640774,2.928571428571428,0.3125,0.28125,1.6755789003583492
CONFIG_punishmentMagnitude,12,10,-1.0205459655126459,0.020408163265300074,0.6963585434173671,0.7142857142857135,0.5,0.4,-1.262955614984681
CONFIG_punishmentMagnitude,13,3,3.5238844896933057,1.3484162895927505,6.001633986928105,6.882352941176471,0.3333333333333333,0.0,3.2814748402212706
CONFIG_punishmentMagnitude,14,2,-2.687132352941166,-2.687132352941166,-4.300000000000001,-4.300000000000001,1.0,1.0,-2.9295420024132013
CONFIG_punishmentMagnitude,15,6,1.7023974415278713,1.1159420289854993,2.46904946904947,3.7777777777777786,0.3333333333333333,0.16666666666666666,1.4599877920558362
CONFIG_punishmentMagnitude,16,2,3.626388888888894,3.626388888888894,4.491666666666666,4.491666666666666,0.0,0.0,3.383979239416859
CONFIG_punishmentMagnitude,2,38,-0.47243770545702085,0.40000000000000535,0.4187473345368081,0.8461538461538458,0.3684210526315789,0.2894736842105263,-0.714847354929056
CONFIG_punishmentMagnitude,3,50,1.1329836086305418,0.5346938775510147,1.1317210102419084,0.5793650793650791,0.36,0.36,0.8905739591585066
CONFIG_punishmentMagnitude,4,40,-0.16110146031149614,9.924800794346272e-15,-0.497809306062015,0.0,0.475,0.45,-0.40351110978353133
CONFIG_punishmentMagnitude,5,32,-1.3041270400822773,-1.3107068123692185,-1.836658989445367,-0.1838235294117645,0.65625,0.5,-1.5465366895543124
CONFIG_punishmentMagnitude,6,42,0.6246085994670961,1.3753058084954648,1.2564448291891903,1.75,0.2619047619047619,0.35714285714285715,0.3821989499950609
CONFIG_punishmentMagnitude,7,33,0.7066809300234062,1.111538461538454,1.313447495265677,2.0181818181818176,0.3939393939393939,0.2727272727272727,0.4642712805513709
CONFIG_punishmentMagnitude,8,22,-0.9320697757098475,-0.5192307692307797,-0.8950480360556351,-1.5106209150326793,0.5454545454545454,0.5454545454545454,-1.1744794251818826
CONFIG_punishmentMagnitude,9,22,-0.024870963805138476,0.5689548546691311,0.18883644735037936,1.4230769230769234,0.5,0.4090909090909091,-0.2672806132771737
CONFIG_rewardExists,False,178,0.2693777077191681,0.5830455259026748,0.7512568905296844,1.0459236326109398,0.42134831460674155,0.3539325842696629,0.02696805824713286
CONFIG_rewardExists,True,182,0.21603429580176242,0.5386499084439687,0.41579371348682936,0.5064102564102564,0.4175824175824176,0.3901098901098901,-0.0263753536702728
CONFIG_rewardMagnitude,1,90,0.4234638132167926,0.42857142857143077,0.7410851315675878,1.026315789473684,0.37777777777777777,0.32222222222222224,0.18105416374475738
CONFIG_rewardMagnitude,2,98,0.7246020486204627,1.3075630252100807,1.434559388059341,2.1202020202020195,0.3469387755102041,0.3163265306122449,0.4821923991484275
CONFIG_rewardMagnitude,3,94,0.06394212426742395,3.1002174746404957e-16,-0.06488103948251492,0.0,0.5,0.4787234042553192,-0.1784675252046113
CONFIG_rewardMagnitude,4,57,-0.5333200816161414,0.6521739130434658,-0.22605405332511408,1.0,0.43859649122807015,0.3684210526315789,-0.7757297310881767
CONFIG_rewardMagnitude,5,15,1.224751029545082,1.993788819875781,2.1775473405736565,2.25,0.4,0.3333333333333333,0.9823413800730468
CONFIG_rewardMagnitude,6,6,-2.639641769429668,-1.4543676035502924,-1.9276018099547512,-0.6282051282051286,0.8333333333333334,0.5,-2.8820514189017032
CONFIG_showNRounds,False,178,1.0227130116880974,0.8821138382816007,1.813944964250431,2.201587301587301,0.3595505617977528,0.2752808988764045,0.7803033622160621
CONFIG_showNRounds,True,182,-0.5207441882997179,0.07050092764378929,-0.623538578393901,0.0,0.47802197802197804,0.46703296703296704,-0.7631538377717532
CONFIG_showOtherSummaries,False,182,0.6197593005822809,0.8794761273209555,1.1386729261601678,1.1468253968253972,0.3626373626373626,0.33516483516483514,0.37734965111024565
CONFIG_showOtherSummaries,True,178,-0.1434197690788902,0.25068352699931884,0.01213320116705678,0.4833333333333334,0.47752808988764045,0.4101123595505618,-0.38582941855092545
CONFIG_showPunishmentId,False,179,0.539064492962309,0.6521739130434658,0.7194525464139072,1.0,0.39664804469273746,0.3575418994413408,0.2966548434902737
CONFIG_showPunishmentId,True,181,-0.050967239946522684,0.33333333333331855,0.4453932406673885,0.8333333333333339,0.4419889502762431,0.3867403314917127,-0.2933768894185579
CONFIG_showRewardId,False,179,0.539064492962309,0.6521739130434658,0.7194525464139072,1.0,0.39664804469273746,0.3575418994413408,0.2966548434902737
CONFIG_showRewardId,True,181,-0.050967239946522684,0.33333333333331855,0.4453932406673885,0.8333333333333339,0.4419889502762431,0.3867403314917127,-0.2933768894185579
