metric_family,metric,distance_kind,bootstrap_mean,bootstrap_median,bootstrap_p05,bootstrap_p95,metric_scope,n_groups,model_score,median_value,model_stderr
mean_alignment_abs_error,SH_delegated,,0.07155,0.07,0.030000000000000006,0.115,session,4,0.615,0.6199999999999999,0.022173557826083438
mean_alignment_abs_error,TGReceiver_decision_direct_mean,,0.2509620349230644,0.23998496789170004,0.16851792496075013,0.35918879141132154,scenario,6,0.30304008228456447,0.29000000000000026,0.04775561890348469
mean_alignment_abs_error,TGReceiver_decision_nonnull_rate,,0.01975,0.018750000000000006,0.008687499999999999,0.0325,scenario,6,0.10375000000000001,0.0,0.049234769218510596
mean_alignment_abs_error,TGReceiver_delegated,,0.079,0.07500000000000004,0.03474999999999998,0.13,session,4,0.415,0.42,0.07365459931328117
mean_alignment_abs_error,TGSender_decision_nonnull_rate,,0.02015,0.019999999999999997,0.008750000000000004,0.0325,scenario,6,0.08499999999999999,0.0,0.04047633053197056
mean_alignment_abs_error,TGSender_delegated,,0.0806,0.07999999999999997,0.035,0.13,session,4,0.33999999999999997,0.33999999999999997,0.06218252702059212
mean_alignment_abs_error,UGProposer_decision_direct_mean,,0.19589066629427826,0.19517871397376438,0.1274838650165809,0.27024712403831264,scenario,6,0.7813675213675215,0.8399999999999999,0.13227201974986139
mean_alignment_abs_error,UGProposer_decision_nonnull_rate,,0.017925,0.0175,0.0075,0.028812499999999977,scenario,6,0.16499999999999998,0.0,0.07394818005423348
mean_alignment_abs_error,UGProposer_delegated,,0.0717,0.07,0.03,0.11524999999999994,session,4,0.6599999999999999,0.6499999999999999,0.021602468994692862
mean_alignment_abs_error,UGResponder_decision_direct_mean,,0.2770719926760097,0.27446466146132453,0.1629489884428915,0.4080615105814526,scenario,6,1.6939031339031336,1.8399999999999999,0.1545005182605379
mean_alignment_abs_error,UGResponder_decision_nonnull_rate,,0.01944375,0.018750000000000003,0.008749999999999994,0.031249999999999986,scenario,6,0.14250000000000002,0.0,0.06470123646422841
mean_alignment_abs_error,UGResponder_delegated,,0.077775,0.07500000000000001,0.035,0.12499999999999997,session,4,0.57,0.5800000000000001,0.04999999999999998
mean_alignment_abs_error,delegation_index_mean,,0.047303571428571424,0.04607142857142855,0.020000000000000004,0.08142857142857146,paper_index_session,4,0.5071428571428572,0.5157142857142858,0.04193451324816525
mean_alignment_abs_error,equality_index_mean,,0.03917813325885565,0.03903574279475287,0.025496773003316178,0.05404942480766254,paper_index_scenario,6,0.15627350427350434,0.16800000000000026,0.02645440394997227
mean_alignment_abs_error,intentions_index_mean,,0.034975690454016425,0.03524708235442043,0.020711716525802663,0.051287196944464375,paper_index_scenario,6,0.15994940476190475,0.1551666666666667,0.014008718818087004
mean_alignment_abs_error,kindness_index_mean,,0.0500151457674383,0.048607551420630606,0.033112184188137876,0.07099165892839784,paper_index_scenario,6,0.15572706228956235,0.1755555555555557,0.014347247256009688
mean_alignment_abs_error,payoff_index_mean,,0.029385703113890705,0.028272679992969615,0.01891176015804338,0.0429155050188184,paper_index_scenario,6,0.089084435053356,0.09412086640211648,0.009708816435001178
mean_alignment_abs_error,predictability_index_mean,,0.08045453300857038,0.07852547671763452,0.05511188237899216,0.10847203657329933,paper_index_scenario,6,0.281288821472645,0.27461538461538465,0.02179151905047016
mean_alignment_abs_error,prosociality_index_mean,,0.0317215211365891,0.03105008869703165,0.02134182544130541,0.044478301136238754,paper_index_scenario,6,0.13003996430588047,0.13389021164021175,0.01557684605622835
